,hardware_spec,embedding,horizon,lambda,time
0,fake_athens,0,4,0.9757808897591119,33
1,fake_athens,0,5,0.981775719021501,164
2,fake_athens,0,6,0.9866705752201232,802
3,fake_athens,0,7,0.9870850606902334,3896
4,fake_athens,1,4,0.9541935758241511,33
5,fake_athens,1,5,0.9635499702440212,164
6,fake_athens,1,6,0.975441870665262,803
7,fake_athens,1,7,0.9767669274166899,3898
8,fake_athens,2,4,0.9568422469357912,33
9,fake_athens,2,5,0.9649740420538885,164
10,fake_athens,2,6,0.9703906132089877,802
11,fake_athens,2,7,0.971121825627119,3898
12,fake_belem,0,4,0.9490567299327449,39
13,fake_belem,0,5,0.9697132662570924,193
14,fake_belem,0,6,0.9754513028814169,946
15,fake_belem,0,7,0.979224880945571,4597
16,fake_belem,1,4,0.9526157418941709,39
17,fake_belem,1,5,0.9734360847688529,192
18,fake_belem,1,6,0.9792196240040105,946
19,fake_belem,1,7,0.98302312657639,4598
20,fake_belem,2,4,0.9481946822508251,38
21,fake_belem,2,5,0.9695287539312082,191
22,fake_belem,2,6,0.9761124369009866,933
23,fake_belem,2,7,0.9802441067485075,4534
24,fake_tenerife,0,4,0.8920995705286106,39
25,fake_tenerife,0,5,0.8920998251866386,193
26,fake_tenerife,0,6,0.9491567156578564,946
27,fake_tenerife,0,7,0.9491567712438468,4602
28,fake_tenerife,1,4,0.7533080731324889,39
29,fake_tenerife,1,5,0.7533088264405621,193
30,fake_tenerife,1,6,0.8362474140888114,946
31,fake_tenerife,1,7,0.8362482503362254,4605
32,fake_lima,0,4,0.9682753447511167,39
33,fake_lima,0,5,0.9765170029800272,193
34,fake_lima,0,6,0.986414203174687,946
35,fake_lima,0,7,0.9873795932429689,4595
36,fake_lima,1,4,0.9708055674614641,39
37,fake_lima,1,5,0.9790917136100495,193
38,fake_lima,1,6,0.989042338134228,945
39,fake_lima,1,7,0.990012939310999,4598
40,fake_lima,2,4,0.9302864049731412,38
41,fake_lima,2,5,0.9532637142684518,190
42,fake_lima,2,6,0.9704830285589858,934
43,fake_lima,2,7,0.9771190885706726,4534
44,fake_rome,0,4,0.9547577993400559,38
45,fake_rome,0,5,0.9599420382525382,194
46,fake_rome,0,6,0.9812215381473929,945
47,fake_rome,0,7,0.982128619245671,4600
48,fake_rome,1,4,0.9622575142553917,39
49,fake_rome,1,5,0.9663253847808393,193
50,fake_rome,1,6,0.9815650700141698,946
51,fake_rome,1,7,0.9820757345338821,4602
52,fake_rome,2,4,0.9656878525126122,38
53,fake_rome,2,5,0.9749084752242086,190
54,fake_rome,2,6,0.9869644896798981,934
55,fake_rome,2,7,0.9882391658235443,4536
56,fake_manila,0,4,0.9590506885946842,39
57,fake_manila,0,5,0.967129942344566,193
58,fake_manila,0,6,0.9771844817216814,945
59,fake_manila,0,7,0.9781494543752364,4595
60,fake_manila,1,4,0.9534321457138049,39
61,fake_manila,1,5,0.9692115069111642,193
62,fake_manila,1,6,0.9823933904812286,946
63,fake_manila,1,7,0.9854742715537748,4596
64,fake_manila,2,4,0.9655066592005512,39
65,fake_manila,2,5,0.9763063788939809,190
66,fake_manila,2,6,0.9865841369625031,933
67,fake_manila,2,7,0.9880685679381184,4536
68,fake_santiago,0,4,0.9769775428395673,39
69,fake_santiago,0,5,0.9804117739480122,193
70,fake_santiago,0,6,0.9904795658655292,947
71,fake_santiago,0,7,0.990771743654512,4596
72,fake_santiago,1,4,0.9738526443123265,39
73,fake_santiago,1,5,0.980486588332741,193
74,fake_santiago,1,6,0.9904649878457332,947
75,fake_santiago,1,7,0.9911666070332203,4598
76,fake_santiago,2,4,0.9772486073448557,39
77,fake_santiago,2,5,0.977630406630734,190
78,fake_santiago,2,6,0.9919060346494374,935
79,fake_santiago,2,7,0.9919412132080231,4532
80,fake_bogota,0,4,0.9553120510327104,39
81,fake_bogota,0,5,0.9621417467982011,193
82,fake_bogota,0,6,0.9791675773283419,945
83,fake_bogota,0,7,0.980245686056287,4596
84,fake_bogota,1,4,0.9139481829463174,38
85,fake_bogota,1,5,0.921647619149119,193
86,fake_bogota,1,6,0.9408476286973722,946
87,fake_bogota,1,7,0.9423566088611272,4597
88,fake_bogota,2,4,0.8931813987380278,38
89,fake_bogota,2,5,0.8961695887684368,190
90,fake_bogota,2,6,0.9351364674946635,933
91,fake_bogota,2,7,0.9360935608558832,4532
92,fake_ourense,0,4,0.9596722914826673,34
93,fake_ourense,0,5,0.9638093286060113,170
94,fake_ourense,0,6,0.985936961166404,833
95,fake_ourense,0,7,0.9866471125478858,4048
96,fake_ourense,1,4,0.9620717187734417,34
97,fake_ourense,1,5,0.9662303718174416,170
98,fake_ourense,1,6,0.9884735317795277,833
99,fake_ourense,1,7,0.9891873924842416,4048
100,fake_ourense,2,4,0.958727181697192,34
101,fake_ourense,2,5,0.9680852061502354,170
102,fake_ourense,2,6,0.9866880363249572,832
103,fake_ourense,2,7,0.9884109252100357,4037
104,fake_yorktown,0,4,0.9118520713528693,34
105,fake_yorktown,0,5,0.9236311489920971,170
106,fake_yorktown,0,6,0.9601870620993546,833
107,fake_yorktown,0,7,0.9643631137516219,4048
108,fake_yorktown,1,4,0.9418577235447163,34
109,fake_yorktown,1,5,0.9504298124448537,171
110,fake_yorktown,1,6,0.96823719791274,833
111,fake_yorktown,1,7,0.9697821631244509,4048
112,fake_yorktown,2,4,0.8525920781831692,35
113,fake_yorktown,2,5,0.8692344950733676,170
114,fake_yorktown,2,6,0.9232927885209176,831
115,fake_yorktown,2,7,0.9334152390308768,4037
116,fake_yorktown,3,4,0.8646969103031272,32
117,fake_yorktown,3,5,0.8819106752694348,160
118,fake_yorktown,3,6,0.9378248350952147,779
119,fake_yorktown,3,7,0.9482947977882019,3784
120,fake_yorktown,4,4,0.9511024096347882,30
121,fake_yorktown,4,5,0.9643648267024509,146
122,fake_yorktown,4,6,0.9748163514841955,717
123,fake_yorktown,4,7,0.9769423124452141,3546
124,fake_yorktown,5,4,0.6924957963963103,29
125,fake_yorktown,5,5,0.7719199961495847,147
126,fake_yorktown,5,6,0.7963899036686153,714
127,fake_yorktown,5,7,0.8012770138281944,3489
128,fake_essex,0,4,0.9405426274838135,34
129,fake_essex,0,5,0.9573712794536188,170
130,fake_essex,0,6,0.9657971299813364,833
131,fake_essex,0,7,0.9687649670938537,4047
132,fake_essex,1,4,0.9512458267165309,34
133,fake_essex,1,5,0.9684833273081753,171
134,fake_essex,1,6,0.9771138679304008,833
135,fake_essex,1,7,0.9801538072184206,4048
136,fake_essex,2,4,0.9349857647662547,34
137,fake_essex,2,5,0.9442944297160593,170
138,fake_essex,2,6,0.9654430018728589,831
139,fake_essex,2,7,0.967411147198902,4037
140,fake_vigo,0,4,0.9638364970439119,35
141,fake_vigo,0,5,0.9758034574977728,170
142,fake_vigo,0,6,0.9837763349108152,832
143,fake_vigo,0,7,0.985343575911378,4048
144,fake_vigo,1,4,0.967250651966327,34
145,fake_vigo,1,5,0.9793057058871356,170
146,fake_vigo,1,6,0.9873372874393425,833
147,fake_vigo,1,7,0.9889160660032293,4048
148,fake_vigo,2,4,0.9678413296980523,34
149,fake_vigo,2,5,0.9729875788247638,170
150,fake_vigo,2,6,0.9874410534175481,832
151,fake_vigo,2,7,0.9880897123887245,4036
152,fake_burlington,0,4,0.9220726169534971,34
153,fake_burlington,0,5,0.9284036837077995,170
154,fake_burlington,0,6,0.9608854327263067,833
155,fake_burlington,0,7,0.9626362829061423,4049
156,fake_burlington,1,4,0.9322816028508157,34
157,fake_burlington,1,5,0.9387658687455199,170
158,fake_burlington,1,6,0.9720334724902708,833
159,fake_burlington,1,7,0.9738266866213553,4050
160,fake_burlington,2,4,0.9475599900958714,34
161,fake_burlington,2,5,0.9556160498890861,170
162,fake_burlington,2,6,0.9750696931396418,832
163,fake_burlington,2,7,0.9765630462688171,4038
164,fake_quito,0,4,0.91617788587322,33
165,fake_quito,0,5,0.9308273101431259,170
166,fake_quito,0,6,0.9333133221748009,834
167,fake_quito,0,7,0.9351772776662838,4054
168,fake_quito,1,4,0.9431563986815518,34
169,fake_quito,1,5,0.958755537002249,170
170,fake_quito,1,6,0.9614027155083243,834
171,fake_quito,1,7,0.963387510184361,4056
172,fake_quito,2,4,0.9031420225467276,34
173,fake_quito,2,5,0.9307167366609658,170
174,fake_quito,2,6,0.934962650723707,832
175,fake_quito,2,7,0.9418792746576929,4042
176,fake_london,0,4,0.9382682734070081,33
177,fake_london,0,5,0.9631036974233608,171
178,fake_london,0,6,0.9764757757320646,832
179,fake_london,0,7,0.9832103379863449,4049
180,fake_london,1,4,0.9411822438233998,34
181,fake_london,1,5,0.9661827839344519,170
182,fake_london,1,6,0.9796437161776504,833
183,fake_london,1,7,0.9864230483903489,4049
184,fake_london,2,4,0.9610833105847028,35
185,fake_london,2,5,0.9733790341781484,169
186,fake_london,2,6,0.9757046279639451,832
187,fake_london,2,7,0.9769005796533776,4038
188,fake_jakarta,0,4,0.9665129172464013,35
189,fake_jakarta,0,5,0.9760297705582279,170
190,fake_jakarta,0,6,0.9839712300975101,832
191,fake_jakarta,0,7,0.9850515604450206,4048
192,fake_jakarta,1,4,0.9675223553029314,34
193,fake_jakarta,1,5,0.9770597762872374,170
194,fake_jakarta,1,6,0.9850184116177084,833
195,fake_jakarta,1,7,0.9861010771507799,4049
196,fake_jakarta,2,4,0.9584362065060001,34
197,fake_jakarta,2,5,0.9626537982952436,170
198,fake_jakarta,2,6,0.9763486517794558,832
199,fake_jakarta,2,7,0.9768441056541639,4037
200,fake_jakarta,3,4,0.9463905632943098,32
201,fake_jakarta,3,5,0.9588002127409055,159
202,fake_jakarta,3,6,0.9727750754430359,778
203,fake_jakarta,3,7,0.9750043146869901,3785
204,fake_jakarta,4,4,0.9564070984438616,30
205,fake_jakarta,4,5,0.9690952435805871,146
206,fake_jakarta,4,6,0.9833837015610464,716
207,fake_jakarta,4,7,0.985662967979282,3546
208,fake_oslo,0,4,0.9738583494806996,34
209,fake_oslo,0,5,0.9738583917673141,170
210,fake_oslo,0,6,0.9872168714970994,832
211,fake_oslo,0,7,0.9872168732852535,4049
212,fake_oslo,1,4,0.9754877431316795,34
213,fake_oslo,1,5,0.9754877713227277,170
214,fake_oslo,1,6,0.9888922135125777,833
215,fake_oslo,1,7,0.9888922147046794,4050
216,fake_oslo,2,4,0.9743885335720242,34
217,fake_oslo,2,5,0.9743895079605578,170
218,fake_oslo,2,6,0.9887746050410497,831
219,fake_oslo,2,7,0.9887755938156548,4037
220,fake_oslo,3,4,0.9782496827892108,32
221,fake_oslo,3,5,0.9782497023932104,159
222,fake_oslo,3,6,0.9876252702036464,779
223,fake_oslo,3,7,0.9876252707801211,3784
224,fake_oslo,4,4,0.9799241188942417,30
225,fake_oslo,4,5,0.9799241384982413,146
226,fake_oslo,4,6,0.9893325319205917,717
227,fake_oslo,4,7,0.9893325324970663,3546
228,fake_perth,0,4,0.9719677411234453,34
229,fake_perth,0,5,0.9719678009638452,170
230,fake_perth,0,6,0.9881064240594273,833
231,fake_perth,0,7,0.9881064271287443,4049
232,fake_perth,1,4,0.972943455459827,34
233,fake_perth,1,5,0.9729435067518034,170
234,fake_perth,1,6,0.9891154255023763,833
235,fake_perth,1,7,0.98911542813323,4050
236,fake_perth,2,4,0.9756552577995841,34
237,fake_perth,2,5,0.9756562334548419,170
238,fake_perth,2,6,0.9877688877018811,831
239,fake_perth,2,7,0.9877698754707688,4037
240,fake_perth,3,4,0.958922121829546,31
241,fake_perth,3,5,0.958922131821456,159
