horizon,diff_index,real_hardware,acc,ins
4,0,fake_athens0,0.975,-1
4,1,fake_athens0,0.026,-1
4,0,fake_athens1,0.952,-1
4,1,fake_athens1,0.045,-1
4,0,fake_athens2,0.952,-1
4,1,fake_athens2,0.048,-1
4,0,fake_belem0,0.947,-1
4,1,fake_belem0,0.048,-1
4,0,fake_belem1,0.953,-1
4,1,fake_belem1,0.049,-1
4,0,fake_belem2,0.945,-1
4,1,fake_belem2,0.049,-1
4,0,fake_tenerife0,0.896,-1
4,1,fake_tenerife0,0.102,-1
4,0,fake_tenerife1,0.748,-1
4,1,fake_tenerife1,0.251,-1
4,0,fake_lima0,0.969,-1
4,1,fake_lima0,0.028,-1
4,0,fake_lima1,0.968,-1
4,1,fake_lima1,0.029,-1
4,0,fake_lima2,0.929,-1
4,1,fake_lima2,0.076,-1
4,0,fake_rome0,0.959,-1
4,1,fake_rome0,0.044,-1
4,0,fake_rome1,0.969,-1
4,1,fake_rome1,0.034,-1
4,0,fake_rome2,0.962,-1
4,1,fake_rome2,0.034,-1
4,0,fake_manila0,0.952,-1
4,1,fake_manila0,0.041,-1
4,0,fake_manila1,0.961,-1
4,1,fake_manila1,0.045,-1
4,0,fake_manila2,0.969,-1
4,1,fake_manila2,0.031,-1
4,0,fake_santiago0,0.979,-1
4,1,fake_santiago0,0.026,-1
4,0,fake_santiago1,0.976,-1
4,1,fake_santiago1,0.024,-1
4,0,fake_santiago2,0.977,-1
4,1,fake_santiago2,0.022,-1
4,0,fake_bogota0,0.955,-1
4,1,fake_bogota0,0.052,-1
4,0,fake_bogota1,0.919,-1
4,1,fake_bogota1,0.076,-1
4,0,fake_bogota2,0.884,-1
4,1,fake_bogota2,0.108,-1
4,0,fake_ourense0,0.961,-1
4,1,fake_ourense0,0.039,-1
4,0,fake_ourense1,0.959,-1
4,1,fake_ourense1,0.04,-1
4,0,fake_ourense2,0.958,-1
4,1,fake_ourense2,0.041,-1
4,0,fake_yorktown0,0.91,-1
4,1,fake_yorktown0,0.095,-1
4,0,fake_yorktown1,0.934,-1
4,1,fake_yorktown1,0.061,-1
4,0,fake_yorktown2,0.858,-1
4,1,fake_yorktown2,0.153,-1
4,0,fake_yorktown3,0.868,-1
4,1,fake_yorktown3,0.141,-1
4,0,fake_yorktown4,0.95,-1
4,1,fake_yorktown4,0.051,-1
4,0,fake_yorktown5,0.696,-1
4,1,fake_yorktown5,0.304,-1
4,0,fake_essex0,0.938,-1
4,1,fake_essex0,0.064,-1
4,0,fake_essex1,0.948,-1
4,1,fake_essex1,0.048,-1
4,0,fake_essex2,0.936,-1
4,1,fake_essex2,0.068,-1
4,0,fake_vigo0,0.964,-1
4,1,fake_vigo0,0.035,-1
4,0,fake_vigo1,0.97,-1
4,1,fake_vigo1,0.038,-1
4,0,fake_vigo2,0.964,-1
4,1,fake_vigo2,0.041,-1
4,0,fake_burlington0,0.919,-1
4,1,fake_burlington0,0.077,-1
4,0,fake_burlington1,0.934,-1
4,1,fake_burlington1,0.063,-1
4,0,fake_burlington2,0.944,-1
4,1,fake_burlington2,0.052,-1
4,0,fake_quito0,0.919,-1
4,1,fake_quito0,0.086,-1
4,0,fake_quito1,0.951,-1
4,1,fake_quito1,0.058,-1
4,0,fake_quito2,0.904,-1
4,1,fake_quito2,0.098,-1
4,0,fake_london0,0.942,-1
4,1,fake_london0,0.066,-1
4,0,fake_london1,0.94,-1
4,1,fake_london1,0.057,-1
4,0,fake_london2,0.964,-1
4,1,fake_london2,0.039,-1
4,0,fake_jakarta0,0.97,-1
4,1,fake_jakarta0,0.035,-1
4,0,fake_jakarta1,0.97,-1
4,1,fake_jakarta1,0.031,-1
4,0,fake_jakarta2,0.958,-1
4,1,fake_jakarta2,0.038,-1
4,0,fake_jakarta3,0.943,-1
4,1,fake_jakarta3,0.044,-1
4,0,fake_jakarta4,0.957,-1
4,1,fake_jakarta4,0.036,-1
4,0,fake_oslo0,0.974,-1
4,1,fake_oslo0,0.024,-1
4,0,fake_oslo1,0.976,-1
4,1,fake_oslo1,0.024,-1
4,0,fake_oslo2,0.972,-1
4,1,fake_oslo2,0.025,-1
4,0,fake_oslo3,0.975,-1
4,1,fake_oslo3,0.021,-1
4,0,fake_oslo4,0.979,-1
4,1,fake_oslo4,0.02,-1
4,0,fake_perth0,0.974,-1
4,1,fake_perth0,0.024,-1
4,0,fake_perth1,0.972,-1
4,1,fake_perth1,0.027,-1
4,0,fake_perth2,0.977,-1
4,1,fake_perth2,0.026,-1
4,0,fake_perth3,0.957,-1
4,1,fake_perth3,0.041,-1
4,0,fake_perth4,0.969,-1
4,1,fake_perth4,0.036,-1
4,0,fake_lagos0,0.981,-1
4,1,fake_lagos0,0.015,-1
4,0,fake_lagos1,0.982,-1
4,1,fake_lagos1,0.021,-1
4,0,fake_lagos2,0.988,-1
4,1,fake_lagos2,0.01,-1
4,0,fake_lagos3,0.974,-1
4,1,fake_lagos3,0.026,-1
4,0,fake_lagos4,0.981,-1
4,1,fake_lagos4,0.017,-1
4,0,fake_nairobi0,0.96,-1
4,1,fake_nairobi0,0.037,-1
4,0,fake_nairobi1,0.957,-1
4,1,fake_nairobi1,0.038,-1
4,0,fake_nairobi2,0.956,-1
4,1,fake_nairobi2,0.04,-1
4,0,fake_nairobi3,0.962,-1
4,1,fake_nairobi3,0.044,-1
4,0,fake_nairobi4,0.961,-1
4,1,fake_nairobi4,0.04,-1
4,0,fake_casablanca0,0.961,-1
4,1,fake_casablanca0,0.04,-1
4,0,fake_casablanca1,0.967,-1
4,1,fake_casablanca1,0.027,-1
4,0,fake_casablanca2,0.97,-1
4,1,fake_casablanca2,0.032,-1
4,0,fake_casablanca3,0.964,-1
4,1,fake_casablanca3,0.034,-1
4,0,fake_casablanca4,0.968,-1
4,1,fake_casablanca4,0.03,-1
4,0,fake_melbourne0,0.939,-1
4,1,fake_melbourne0,0.058,-1
4,0,fake_melbourne1,0.888,-1
4,1,fake_melbourne1,0.109,-1
4,0,fake_melbourne2,0.899,-1
4,1,fake_melbourne2,0.096,-1
4,0,fake_melbourne3,0.783,-1
4,1,fake_melbourne3,0.229,-1
4,0,fake_melbourne4,0.935,-1
4,1,fake_melbourne4,0.071,-1
4,0,fake_melbourne5,0.938,-1
4,1,fake_melbourne5,0.071,-1
4,0,fake_melbourne6,0.92,-1
4,1,fake_melbourne6,0.083,-1
4,0,fake_melbourne7,0.917,-1
4,1,fake_melbourne7,0.085,-1
4,0,fake_guadalupe0,0.929,-1
4,1,fake_guadalupe0,0.068,-1
4,0,fake_guadalupe1,0.932,-1
4,1,fake_guadalupe1,0.069,-1
4,0,fake_guadalupe2,0.977,-1
4,1,fake_guadalupe2,0.024,-1
4,0,fake_guadalupe3,0.961,-1
4,1,fake_guadalupe3,0.04,-1
4,0,fake_tokyo0,0.888,-1
4,1,fake_tokyo0,0.11,-1
4,0,fake_tokyo1,0.844,-1
4,1,fake_tokyo1,0.147,-1
4,0,fake_tokyo2,0.766,-1
4,1,fake_tokyo2,0.238,-1
4,0,fake_tokyo3,0.786,-1
4,1,fake_tokyo3,0.227,-1
4,0,fake_tokyo4,0.925,-1
4,1,fake_tokyo4,0.076,-1
4,0,fake_tokyo5,0.941,-1
4,1,fake_tokyo5,0.068,-1
4,0,fake_tokyo6,0.928,-1
4,1,fake_tokyo6,0.084,-1
4,0,fake_tokyo7,0.924,-1
4,1,fake_tokyo7,0.083,-1
4,0,fake_tokyo8,0.932,-1
4,1,fake_tokyo8,0.074,-1
4,0,fake_tokyo9,0.941,-1
4,1,fake_tokyo9,0.058,-1
4,0,fake_poughkeepsie0,0.953,-1
4,1,fake_poughkeepsie0,0.046,-1
4,0,fake_poughkeepsie1,0.958,-1
4,1,fake_poughkeepsie1,0.038,-1
4,0,fake_poughkeepsie2,0.844,-1
4,1,fake_poughkeepsie2,0.148,-1
4,0,fake_poughkeepsie3,0.884,-1
4,1,fake_poughkeepsie3,0.117,-1
4,0,fake_poughkeepsie4,0.762,-1
4,1,fake_poughkeepsie4,0.225,-1
4,0,fake_poughkeepsie5,0.769,-1
4,1,fake_poughkeepsie5,0.229,-1
4,0,fake_johannesburg0,0.81,-1
4,1,fake_johannesburg0,0.195,-1
4,0,fake_johannesburg1,0.883,-1
4,1,fake_johannesburg1,0.119,-1
4,0,fake_johannesburg2,0.902,-1
4,1,fake_johannesburg2,0.103,-1
4,0,fake_johannesburg3,0.943,-1
4,1,fake_johannesburg3,0.055,-1
4,0,fake_johannesburg4,0.954,-1
4,1,fake_johannesburg4,0.046,-1
4,0,fake_boeblingen0,0.94,-1
4,1,fake_boeblingen0,0.062,-1
4,0,fake_boeblingen1,0.948,-1
4,1,fake_boeblingen1,0.056,-1
4,0,fake_boeblingen2,0.956,-1
4,1,fake_boeblingen2,0.043,-1
4,0,fake_boeblingen3,0.947,-1
4,1,fake_boeblingen3,0.05,-1
4,0,fake_boeblingen4,0.853,-1
4,1,fake_boeblingen4,0.148,-1
4,0,fake_boeblingen5,0.899,-1
4,1,fake_boeblingen5,0.102,-1
4,0,fake_boeblingen6,0.9,-1
4,1,fake_boeblingen6,0.097,-1
4,0,fake_almaden0,0.905,-1
4,1,fake_almaden0,0.106,-1
4,0,fake_almaden1,0.893,-1
4,1,fake_almaden1,0.099,-1
4,0,fake_almaden2,0.905,-1
4,1,fake_almaden2,0.102,-1
4,0,fake_almaden3,0.928,-1
