,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,167.0,0.9562425149700599,0.04980162019813928,0.6194999999999999,0.9464999999999999,0.9715,0.9844999999999999,0.997
0,couplers_success,167.0,0.9748622754491018,0.018507216491439774,0.892,0.9670000000000001,0.981,0.988,0.993
0,success0,167.0,0.9745508982035929,0.038403949765904354,0.624,0.9744999999999999,0.988,0.994,0.998
0,success1,167.0,0.9379341317365268,0.07004070569684932,0.501,0.9235,0.96,0.9764999999999999,0.996
0,success_diff,167.0,0.036616766467065874,0.05329467259333409,0.0,0.009000000000000008,0.020000000000000018,0.040000000000000036,0.41300000000000003
1,accum_prob,42.0,0.9207380952380954,0.08107887142409755,0.7255,0.897875,0.957,0.983,0.9944999999999999
1,couplers_success,42.0,0.9793809523809522,0.01731375088773532,0.9225,0.974375,0.98775,0.990375,0.994
1,success0,42.0,0.9000952380952382,0.1077148017375354,0.685,0.862,0.9535,0.98225,0.994
1,success1,42.0,0.9413809523809523,0.0624796366362097,0.766,0.909,0.9664999999999999,0.9844999999999999,0.995
1,success_diff,42.0,-0.041285714285714294,0.06868211884819334,-0.238,-0.06650000000000003,-0.003500000000000003,0.0,0.0
2,accum_prob,8.0,0.9476249999999999,0.0753523864443399,0.794,0.955,0.986,0.98725,0.99
2,couplers_success,8.0,0.9798125,0.01927421945797769,0.9345,0.979875,0.9864999999999999,0.990125,0.994
2,success0,8.0,0.9476249999999999,0.0753523864443399,0.794,0.955,0.986,0.98725,0.99
2,success1,8.0,0.9476249999999999,0.0753523864443399,0.794,0.955,0.986,0.98725,0.99
2,success_diff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,accum_prob,2.0,0.7777499999999999,0.2372343250880867,0.61,0.693875,0.7777499999999999,0.861625,0.9455
9,couplers_success,2.0,0.479,0.0028284271247461927,0.477,0.478,0.479,0.48,0.481
9,success0,2.0,0.878,0.09616652224137039,0.81,0.8440000000000001,0.878,0.9119999999999999,0.946
9,success1,2.0,0.6775,0.3783021279348029,0.41,0.54375,0.6775,0.81125,0.945
9,success_diff,2.0,0.20050000000000004,0.28213560569343255,0.0010000000000000009,0.10075000000000002,0.20050000000000004,0.3002500000000001,0.4000000000000001
10,accum_prob,1.0,0.611,,0.611,0.611,0.611,0.611,0.611
10,couplers_success,1.0,0.9695,,0.9695,0.9695,0.9695,0.9695,0.9695
10,success0,1.0,0.352,,0.352,0.352,0.352,0.352,0.352
10,success1,1.0,0.87,,0.87,0.87,0.87,0.87,0.87
10,success_diff,1.0,-0.518,,-0.518,-0.518,-0.518,-0.518,-0.518
11,accum_prob,3.0,0.5968333333333333,0.0005773502691896263,0.5965,0.5965,0.5965,0.597,0.5975
11,couplers_success,3.0,0.31566666666666665,0.5467507049225756,0.0,0.0,0.0,0.4735,0.947
11,success0,3.0,0.9073333333333333,0.046188021535170105,0.854,0.894,0.934,0.934,0.934
11,success1,3.0,0.2863333333333334,0.04734272207354932,0.259,0.259,0.259,0.30000000000000004,0.341
11,success_diff,3.0,0.621,0.09353074360871946,0.5129999999999999,0.594,0.675,0.675,0.675
12,accum_prob,2.0,0.8574999999999999,0.1449568901432422,0.755,0.80625,0.8574999999999999,0.90875,0.96
12,couplers_success,2.0,0.47325,0.023688077169749324,0.4565,0.46487500000000004,0.47325,0.48162499999999997,0.49
12,success0,2.0,0.827,0.15273506473629433,0.719,0.773,0.827,0.881,0.935
12,success1,2.0,0.888,0.13717871555019018,0.791,0.8395,0.888,0.9365,0.985
12,success_diff,2.0,-0.061,0.015556349186104138,-0.07200000000000006,-0.06650000000000003,-0.061,-0.055499999999999966,-0.04999999999999993
