,hardware_spec,embedding,horizon,lambda,time
0,fake_athens,0,4,0.500006000027,29
1,fake_athens,0,5,0.5000075000450002,172
2,fake_athens,0,6,0.9813022692552344,945
3,fake_athens,0,7,0.9813032505575038,5256
4,fake_athens,1,4,0.500006000027,11
5,fake_athens,1,5,0.5000075000450002,49
6,fake_athens,1,6,0.9719847954284705,201
7,fake_athens,1,7,0.9719857674132659,818
8,fake_athens,2,4,0.500006000027,12
9,fake_athens,2,5,0.5000075000450002,53
10,fake_athens,2,6,0.9584664625007787,254
11,fake_athens,2,7,0.9584674209672412,1122
12,fake_belem,0,4,0.500002000003,27
13,fake_belem,0,5,0.5000030000065,153
14,fake_belem,0,6,0.9692984880654544,821
15,fake_belem,0,7,0.9692994573639425,4466
16,fake_belem,1,4,0.500002000003,27
17,fake_belem,1,5,0.500002500005,152
18,fake_belem,1,6,0.9730492318515578,812
19,fake_belem,1,7,0.9730502049007896,4379
20,fake_belem,2,4,0.500002000003,11
21,fake_belem,2,5,0.500002500005,45
22,fake_belem,2,6,0.9707018137369009,194
23,fake_belem,2,7,0.9707027844387146,800
24,fake_tenerife,0,4,0.500006000027,29
25,fake_tenerife,0,5,0.5000075000450002,172
26,fake_tenerife,0,6,0.9503395286851883,946
27,fake_tenerife,0,7,0.9503395286851883,5260
28,fake_tenerife,1,4,0.500002000003,11
29,fake_tenerife,1,5,0.500002500005,49
30,fake_tenerife,1,6,0.8991599961677142,202
31,fake_tenerife,1,7,0.8991659659074008,817
32,fake_lima,0,4,0.500002000003,11
33,fake_lima,0,5,0.500002000003,49
34,fake_lima,0,6,0.9818625606776914,203
35,fake_lima,0,7,0.9818645542963143,811
36,fake_lima,1,4,0.5,28
37,fake_lima,1,5,0.5000030000045,165
38,fake_lima,1,6,0.9843634024067385,967
39,fake_lima,1,7,0.9843634024067385,5289
40,fake_lima,2,4,0.500002000003,11
41,fake_lima,2,5,0.500002500005,47
42,fake_lima,2,6,0.9727490787931674,202
43,fake_lima,2,7,0.972752093519618,812
44,fake_rome,0,4,0.500002000003,29
45,fake_rome,0,5,0.500002500005,171
46,fake_rome,0,6,0.9790723737312281,943
47,fake_rome,0,7,0.9790723737312281,5244
48,fake_rome,1,4,0.5,27
49,fake_rome,1,5,0.5,150
50,fake_rome,1,6,0.9768505685635621,822
51,fake_rome,1,7,0.9768505685635621,4280
52,fake_rome,2,4,0.5,11
53,fake_rome,2,5,0.5,47
54,fake_rome,2,6,0.9827596752344304,192
55,fake_rome,2,7,0.9827596752344304,773
56,fake_manila,0,4,0.500004000012,29
57,fake_manila,0,5,0.50000500002,173
58,fake_manila,0,6,0.9723923497475421,950
59,fake_manila,0,7,0.9723923497475421,5285
60,fake_manila,1,4,0.500004000012,27
61,fake_manila,1,5,0.50000500002,151
62,fake_manila,1,6,0.9796884420888751,826
63,fake_manila,1,7,0.9796894217773172,4309
64,fake_manila,2,4,0.500002000003,12
65,fake_manila,2,5,0.5000030000065,54
66,fake_manila,2,6,0.982855735260542,246
67,fake_manila,2,7,0.9828567181162773,1072
68,fake_santiago,0,4,0.5,29
69,fake_santiago,0,5,0.500002000002,172
70,fake_santiago,0,6,0.9865572285278873,947
71,fake_santiago,0,7,0.9865572285278873,5265
72,fake_santiago,1,4,0.5,28
73,fake_santiago,1,5,0.500000499999,150
74,fake_santiago,1,6,0.9872682741117502,825
75,fake_santiago,1,7,0.9872702786273361,4294
76,fake_santiago,2,4,0.500004000012,12
77,fake_santiago,2,5,0.50000500002,55
78,fake_santiago,2,6,0.9888014570606254,244
79,fake_santiago,2,7,0.9888024302940001,1071
80,fake_bogota,0,4,0.500002000003,29
81,fake_bogota,0,5,0.500002000003,173
82,fake_bogota,0,6,0.9754114578283993,948
83,fake_bogota,0,7,0.9754134452789984,5278
84,fake_bogota,1,4,0.5,11
85,fake_bogota,1,5,0.5,49
86,fake_bogota,1,6,0.9388600237385384,203
87,fake_bogota,1,7,0.9388600237385384,818
88,fake_bogota,2,4,0.5,12
89,fake_bogota,2,5,0.5,54
90,fake_bogota,2,6,0.9360395048109914,256
91,fake_bogota,2,7,0.9360416205415967,1127
92,fake_ourense,0,4,0.500006000027,11
93,fake_ourense,0,5,0.5000075000450002,49
94,fake_ourense,0,6,0.9827562956508846,204
95,fake_ourense,0,7,0.9827572784071802,817
96,fake_ourense,1,4,0.500006000027,29
97,fake_ourense,1,5,0.5000075000450002,166
98,fake_ourense,1,6,0.9852573096349314,971
99,fake_ourense,1,7,0.985258294892241,5318
100,fake_ourense,2,4,0.500004000012,12
101,fake_ourense,2,5,0.50000500002,57
102,fake_ourense,2,6,0.9852829222593757,258
103,fake_ourense,2,7,0.9852829222593757,1133
104,fake_yorktown,0,4,0.5,25
105,fake_yorktown,0,5,0.5,149
106,fake_yorktown,0,6,0.9543605958333238,834
107,fake_yorktown,0,7,0.9543636927966379,4621
108,fake_yorktown,1,4,0.5,26
109,fake_yorktown,1,5,0.5,149
110,fake_yorktown,1,6,0.9542788121507806,842
111,fake_yorktown,1,7,0.9542799228992099,4630
112,fake_yorktown,2,4,0.500002000003,10
113,fake_yorktown,2,5,0.500002000003,43
114,fake_yorktown,2,6,0.9425462302492552,175
115,fake_yorktown,2,7,0.9425471727954855,714
116,fake_yorktown,3,4,0.500002000003,10
117,fake_yorktown,3,5,0.500002000003,42
118,fake_yorktown,3,6,0.9574009045552252,175
119,fake_yorktown,3,7,0.9574029625196305,715
120,fake_yorktown,4,4,0.5,11
121,fake_yorktown,4,5,0.5,49
122,fake_yorktown,4,6,0.9613644756717926,222
123,fake_yorktown,4,7,0.9613644756717926,1011
124,fake_yorktown,5,4,0.5,12
125,fake_yorktown,5,5,0.5,52
126,fake_yorktown,5,6,0.9502375318317938,234
127,fake_yorktown,5,7,0.9502375568262195,1065
128,fake_essex,0,4,0.500004000012,25
129,fake_essex,0,5,0.50000500002,140
130,fake_essex,0,6,0.9574052190886595,765
131,fake_essex,0,7,0.9574061764938786,4141
132,fake_essex,1,4,0.500004000012,25
133,fake_essex,1,5,0.50000500002,138
134,fake_essex,1,6,0.9679390495542801,764
135,fake_essex,1,7,0.9679400174933297,4186
136,fake_essex,2,4,0.500004000012,11
137,fake_essex,2,5,0.50000500002,47
138,fake_essex,2,6,0.9569236755433348,192
139,fake_essex,2,7,0.9569246324670104,783
140,fake_vigo,0,4,0.500006000027,25
141,fake_vigo,0,5,0.5000075000450002,143
142,fake_vigo,0,6,0.9782107989324329,780
143,fake_vigo,0,7,0.9782107989324329,4214
144,fake_vigo,1,4,0.500006000027,25
145,fake_vigo,1,5,0.5000075000450002,140
146,fake_vigo,1,6,0.9817245139367853,767
147,fake_vigo,1,7,0.9817245139367853,4195
148,fake_vigo,2,4,0.5000010000005,12
149,fake_vigo,2,5,0.5000015000015,55
150,fake_vigo,2,6,0.9826410536823799,245
151,fake_vigo,2,7,0.982642067835193,1100
152,fake_burlington,0,4,0.5,25
153,fake_burlington,0,5,0.5000030000045,140
154,fake_burlington,0,6,0.9530762287995764,766
155,fake_burlington,0,7,0.9530762287995764,4145
156,fake_burlington,1,4,0.500002000003,24
157,fake_burlington,1,5,0.500002000003,138
158,fake_burlington,1,6,0.9629613356150756,765
159,fake_burlington,1,7,0.9629642985764112,4192
160,fake_burlington,2,4,0.500002000003,12
161,fake_burlington,2,5,0.500002500005,54
162,fake_burlington,2,6,0.9710130344099533,245
163,fake_burlington,2,7,0.9710130344099533,1101
164,fake_quito,0,4,0.500002000003,11
165,fake_quito,0,5,0.500002000003,45
166,fake_quito,0,6,0.907543329891792,187
167,fake_quito,0,7,0.9075442374351218,764
168,fake_quito,1,4,0.500002000003,28
169,fake_quito,1,5,0.500002000003,159
170,fake_quito,1,6,0.9329177000459676,896
171,fake_quito,1,7,0.9329186329636677,4950
172,fake_quito,2,4,0.500006000027,12
173,fake_quito,2,5,0.5000075000450002,52
174,fake_quito,2,6,0.9217759450622326,238
175,fake_quito,2,7,0.9217768668381777,1063
176,fake_london,0,4,0.5,17
177,fake_london,0,5,0.5000010000005,75
178,fake_london,0,6,0.9788717225337369,311
179,fake_london,0,7,0.9788727350501146,1269
180,fake_london,1,4,0.5,46
181,fake_london,1,5,0.5000010000005,264
182,fake_london,1,6,0.9820160140872334,1486
183,fake_london,1,7,0.9820169961032474,8220
184,fake_london,2,4,0.500002000003,18
185,fake_london,2,5,0.500002000003,75
186,fake_london,2,6,0.9674739105147203,312
187,fake_london,2,7,0.9674748779886309,1274
188,fake_jakarta,0,4,0.500002000003,49
189,fake_jakarta,0,5,0.500002500005,285
190,fake_jakarta,0,6,0.977042915677181,1599
191,fake_jakarta,0,7,0.977042915677181,8844
192,fake_jakarta,1,4,0.500002000003,19
193,fake_jakarta,1,5,0.5000030000065,81
194,fake_jakarta,1,6,0.9781033433162339,335
195,fake_jakarta,1,7,0.9781033433162339,1365
196,fake_jakarta,2,4,0.500004000012,19
197,fake_jakarta,2,5,0.50000500002,81
198,fake_jakarta,2,6,0.9701771014058509,334
199,fake_jakarta,2,7,0.9701771014058509,1366
200,fake_jakarta,3,4,0.500002000003,19
201,fake_jakarta,3,5,0.500002000003,81
202,fake_jakarta,3,6,0.9674290173118328,335
203,fake_jakarta,3,7,0.9674319354153388,1365
204,fake_jakarta,4,4,0.5,19
205,fake_jakarta,4,5,0.5,81
206,fake_jakarta,4,6,0.9778607874672721,335
207,fake_jakarta,4,7,0.9778617814935285,1356
208,fake_oslo,0,4,0.500002000003,16
209,fake_oslo,0,5,0.500002000003,70
210,fake_oslo,0,6,0.9815592510644326,285
211,fake_oslo,0,7,0.9815602326236837,1167
212,fake_oslo,1,4,0.500002000003,42
213,fake_oslo,1,5,0.500002500005,244
214,fake_oslo,1,6,0.9830594958267934,1368
215,fake_oslo,1,7,0.9830604788862892,7594
216,fake_oslo,2,4,0.500004000012,18
217,fake_oslo,2,5,0.50000500002,81
218,fake_oslo,2,6,0.9840117035507849,364
219,fake_oslo,2,7,0.9840117035507849,1620
220,fake_oslo,3,4,0.5,16
221,fake_oslo,3,5,0.5000009999985,67
222,fake_oslo,3,6,0.9817972902478359,278
223,fake_oslo,3,7,0.9817972902478359,1139
224,fake_oslo,4,4,0.500002000003,15
225,fake_oslo,4,5,0.500002000003,68
226,fake_oslo,4,6,0.9836437954267124,278
227,fake_oslo,4,7,0.9836447790705078,1138
228,fake_perth,0,4,0.500006000027,11
229,fake_perth,0,5,0.5000075000450002,49
230,fake_perth,0,6,0.9830725117952785,199
231,fake_perth,0,7,0.9830725117952785,821
232,fake_perth,1,4,0.500006000027,30
233,fake_perth,1,5,0.5000075000450002,169
234,fake_perth,1,6,0.9840067285652769,952
235,fake_perth,1,7,0.9840067285652769,5316
236,fake_perth,2,4,0.5000010000005,11
237,fake_perth,2,5,0.5000015000015,48
238,fake_perth,2,6,0.9820685565950894,198
239,fake_perth,2,7,0.9820715693779722,817
240,fake_perth,3,4,0.500002000003,12
241,fake_perth,3,5,0.500002000003,47
242,fake_perth,3,6,0.969623614435338,199
243,fake_perth,3,7,0.9696245840589524,818
244,fake_perth,4,4,0.500002000003,11
245,fake_perth,4,5,0.500002000003,48
246,fake_perth,4,6,0.976353416803572,198
247,fake_perth,4,7,0.97635439895146,816
248,fake_lagos,0,4,0.500002000003,46
249,fake_lagos,0,5,0.500002500005,266
250,fake_lagos,0,6,0.9867284848129946,1495
251,fake_lagos,0,7,0.9867294715414794,8271
252,fake_lagos,1,4,0.500002000003,18
253,fake_lagos,1,5,0.500002500005,75
254,fake_lagos,1,6,0.988414096279431,313
255,fake_lagos,1,7,0.9884160926848583,1279
256,fake_lagos,2,4,0.500002000003,18
257,fake_lagos,2,5,0.500002500005,76
258,fake_lagos,2,6,0.9885564818731244,314
259,fake_lagos,2,7,0.9885594861183723,1283
260,fake_lagos,3,4,0.500006000027,18
261,fake_lagos,3,5,0.5000075000450002,76
262,fake_lagos,3,6,0.9798506866419846,314
263,fake_lagos,3,7,0.9798506866419846,1282
264,fake_lagos,4,4,0.500006000027,18
265,fake_lagos,4,5,0.5000075000450002,76
266,fake_lagos,4,6,0.9855817341405981,314
267,fake_lagos,4,7,0.9855817341405981,1283
268,fake_nairobi,0,4,0.5,11
269,fake_nairobi,0,5,0.500000499999,48
270,fake_nairobi,0,6,0.9836381575174563,198
271,fake_nairobi,0,7,0.9836391964600301,806
272,fake_nairobi,1,4,0.500002000003,29
273,fake_nairobi,1,5,0.500002500005,168
274,fake_nairobi,1,6,0.9848445467223237,945
275,fake_nairobi,1,7,0.9848475517216252,5151
276,fake_nairobi,2,4,0.5,12
277,fake_nairobi,2,5,0.500001999999,46
278,fake_nairobi,2,6,0.9817669072987603,195
279,fake_nairobi,2,7,0.9817669072987603,790
280,fake_nairobi,3,4,0.500006000027,11
281,fake_nairobi,3,5,0.5000075000450002,46
282,fake_nairobi,3,6,0.9803871396316864,193
283,fake_nairobi,3,7,0.9803871396316864,786
284,fake_nairobi,4,4,0.500006000027,11
285,fake_nairobi,4,5,0.5000075000450002,47
286,fake_nairobi,4,6,0.9829563537112277,192
287,fake_nairobi,4,7,0.9829563537112277,779
288,fake_casablanca,0,4,0.5,46
289,fake_casablanca,0,5,0.500002000002,264
290,fake_casablanca,0,6,0.9653975289458957,1484
291,fake_casablanca,0,7,0.9653975289458957,8201
292,fake_casablanca,1,4,0.500002000003,18
293,fake_casablanca,1,5,0.500002000003,75
294,fake_casablanca,1,6,0.9722889830380483,310
295,fake_casablanca,1,7,0.9722899553270314,1266
296,fake_casablanca,2,4,0.500002000003,18
297,fake_casablanca,2,5,0.500002500005,75
298,fake_casablanca,2,6,0.9798363862177819,310
299,fake_casablanca,2,7,0.979837366054168,1267
300,fake_casablanca,3,4,0.500002000003,17
301,fake_casablanca,3,5,0.5000030000065,75
302,fake_casablanca,3,6,0.9739172833518388,311
303,fake_casablanca,3,7,0.9739182572691221,1266
304,fake_casablanca,4,4,0.500002000003,18
305,fake_casablanca,4,5,0.5000030000065,75
306,fake_casablanca,4,6,0.9767418249440567,311
307,fake_casablanca,4,7,0.9767428016858817,1266
308,fake_melbourne,0,4,0.5,16
309,fake_melbourne,0,5,0.500001999999,69
310,fake_melbourne,0,6,0.9576885688618662,281
311,fake_melbourne,0,7,0.9576885688618662,1147
312,fake_melbourne,1,4,0.500002000003,16
313,fake_melbourne,1,5,0.500002500005,68
