,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,167.0,0.9696536926147707,0.045263244580015474,0.5963,0.968,0.9791000000000001,0.9866,0.9972
0,couplers_success,167.0,0.9658419685628742,0.10795211119726934,0.0,0.9715357,0.9825691999999999,0.989277425,0.99375295
0,success0,167.0,0.982653892215569,0.01741021132325243,0.904,0.9796,0.9888,0.994,0.9982
0,success1,167.0,0.9566534930139721,0.0814072887775139,0.259,0.9544999999999999,0.9712,0.9842,0.9964
0,success_diff,167.0,0.026000399201596802,0.07526937630411518,-0.04920000000000002,0.0033999999999999586,0.014399999999999968,0.025799999999999934,0.6746
1,accum_prob,58.0,0.8566106321839082,0.09331410113820289,0.5975,0.8109999999999999,0.8936,0.9201083333333334,0.9615
1,couplers_success,58.0,0.9362691318965518,0.12816369358954302,0.4562516,0.951528625,0.97588645,0.9848956375,0.99387675
1,success0,58.0,0.8708836206896552,0.11953744817215448,0.352,0.81965,0.9084,0.95245,0.9896
1,success1,58.0,0.8423376436781609,0.12650147952968868,0.34125000000000005,0.8189,0.8672500000000001,0.919,0.9846
1,success_diff,58.0,0.02854597701149426,0.16047917557271563,-0.518,-0.0032999999999999696,0.0121,0.0613999999999999,0.5125
