backend,embedding,time
fake_athens,0,881.196097612381
fake_athens,1,273.50672793388367
fake_athens,2,872.3924088478088
fake_belem,0,891.4485964775085
fake_belem,1,875.9209678173065
fake_belem,2,270.6442337036133
fake_tenerife,0,867.3462290763855
fake_tenerife,1,270.6080594062805
fake_lima,0,271.8577423095703
fake_lima,1,867.2848296165466
fake_lima,2,276.479722738266
fake_rome,0,877.6392607688904
fake_rome,1,861.9616360664368
fake_rome,2,273.27199125289917
fake_manila,0,876.6606044769287
fake_manila,1,885.8342525959015
fake_manila,2,890.0551834106445
fake_santiago,0,889.0361106395721
fake_santiago,1,889.3284304141998
fake_santiago,2,888.8858406543732
fake_bogota,0,893.350869178772
fake_bogota,1,280.3409073352814
fake_bogota,2,891.3320777416229
fake_ourense,0,280.48027658462524
fake_ourense,1,889.9688100814819
fake_ourense,2,913.5068893432617
fake_yorktown,0,917.4948408603668
fake_yorktown,1,914.0744762420654
fake_yorktown,2,287.8987503051758
fake_yorktown,3,285.22194743156433
fake_yorktown,4,878.0692646503448
fake_yorktown,5,878.6782553195953
fake_essex,0,880.351726770401
fake_essex,1,876.4028477668762
fake_essex,2,275.69796323776245
fake_vigo,0,877.3676071166992
fake_vigo,1,874.666092634201
fake_vigo,2,875.3069384098053
fake_burlington,0,869.891946554184
fake_burlington,1,870.0658104419708
fake_burlington,2,877.2528183460236
fake_quito,0,282.4150583744049
fake_quito,1,908.0789730548859
fake_quito,2,902.40975689888
fake_london,0,281.9473099708557
fake_london,1,898.91406416893
fake_london,2,281.12381982803345
fake_jakarta,0,901.6607232093811
fake_jakarta,1,284.46691131591797
fake_jakarta,2,282.8298296928406
fake_jakarta,3,281.69940853118896
fake_jakarta,4,282.9907488822937
fake_oslo,0,281.8727605342865
fake_oslo,1,904.6595892906189
fake_oslo,2,895.7063186168671
fake_oslo,3,282.38408279418945
fake_oslo,4,281.1791033744812
fake_perth,0,281.9283375740051
fake_perth,1,903.7060480117798
fake_perth,2,283.24716544151306
fake_perth,3,281.87470388412476
fake_perth,4,284.6756343841553
fake_lagos,0,908.1391732692719
fake_lagos,1,284.2999677658081
fake_lagos,2,283.799200296402
fake_lagos,3,283.4281733036041
fake_lagos,4,280.18575263023376
fake_nairobi,0,274.71436977386475
fake_nairobi,1,883.0231864452362
fake_nairobi,2,275.3273711204529
fake_nairobi,3,275.7812514305115
fake_nairobi,4,274.7814836502075
fake_casablanca,0,877.7927463054657
fake_casablanca,1,274.7252616882324
fake_casablanca,2,273.66867566108704
