embedding,horizon,lambda,time
0,4,0.90049181397034724370675600000000000000000000000000000000000000000000000000000000,34
0,5,0.95522616471082602205342807225200000000000000000000000000000000000000000000000000,170
0,6,0.95816771647207072316444270326466408400000000000000000000000000000000000000000000,833
0,7,0.97243908196359971978892085257754738269591600000000000000000000000000000000000000,4051
1,4,0.90298696150358934861952000000000000000000000000000000000000000000000000000000000,35
1,5,0.95806232223849039312730393984000000000000000000000000000000000000000000000000000,170
1,6,0.96102220684738786005967679641011328000000000000000000000000000000000000000000000,834
1,7,0.97538246579876306291943116858972140108672000000000000000000000000000000000000000,4051
2,4,0.90548411976074822072431850000000000000000000000000000000000000000000000000000000,34
2,5,0.90818747880497962734963760643950000000000000000000000000000000000000000000000000,170
2,6,0.94640241749595293657824880583028570700000000000000000000000000000000000000000000,832
2,7,0.94722118104416647934701486187292362698785350000000000000000000000000000000000000,4038
3,4,0.92618751579767487194350500000000000000000000000000000000000000000000000000000000,32
3,5,0.92902892796646796881475234783500000000000000000000000000000000000000000000000000,159
3,6,0.96919499836008158480857937591546811000000000000000000000000000000000000000000000,779
3,7,0.97005556991165456327347411747011977458405500000000000000000000000000000000000000,3785
4,4,0.74389600413120666565735950000000000000000000000000000000000000000000000000000000,29
4,5,0.78291997563523022162680483999950000000000000000000000000000000000000000000000000,147
4,6,0.82003603110302819687312019471164280900000000000000000000000000000000000000000000,717
4,7,0.85958032497714988481435769020962726777333350000000000000000000000000000000000000,3547
5,4,0.75248173620250356991642700000000000000000000000000000000000000000000000000000000,29
5,5,0.79287908315054280749576560666700000000000000000000000000000000000000000000000000,146
5,6,0.83130170702576592927863706359364079400000000000000000000000000000000000000000000,715
5,7,0.87223776935036301510127950568931924965111100000000000000000000000000000000000000,3488
6,4,0.96167796461933085829698800000000000000000000000000000000000000000000000000000000,29
6,5,0.97245029656789870371363162100400000000000000000000000000000000000000000000000000,146
6,6,0.97791892848607217248401460663846733600000000000000000000000000000000000000000000,715
6,7,0.97907337402192429172745620316262984540633200000000000000000000000000000000000000,3473
7,4,0.84670913340735283921579200000000000000000000000000000000000000000000000000000000,29
7,5,0.89524848208438223670600288000000000000000000000000000000000000000000000000000000,146
7,6,0.90007150046887984008678209145861508800000000000000000000000000000000000000000000,715
7,7,0.90479175001897071862290288880153315008000000000000000000000000000000000000000000,3474
8,4,0.95892102997712819624000100000000000000000000000000000000000000000000000000000000,29
8,5,0.97880793714601492725688832666700000000000000000000000000000000000000000000000000,146
8,6,0.98000078408762381719207514428306222200000000000000000000000000000000000000000000,704
8,7,0.98285322752732044035552089079197573417111100000000000000000000000000000000000000,3440
