embedding,horizon,lambda,time
0,4,0.93700293982477206058400000000000000000000000000000000000000000000000000000000000,34
0,5,0.96156261744281185038882080000000000000000000000000000000000000000000000000000000,170
0,6,0.96728643822382014719482033856000000000000000000000000000000000000000000000000000,833
0,7,0.97262494685842741937853806226387200000000000000000000000000000000000000000000000,4050
1,4,0.95116621688484803411940000000000000000000000000000000000000000000000000000000000,34
1,5,0.97652184742738573260661764000000000000000000000000000000000000000000000000000000,170
1,6,0.98243115974341279946221825483200000000000000000000000000000000000000000000000000,833
1,7,0.98794268278223596342145091185582880000000000000000000000000000000000000000000000,4051
2,4,0.95654591656396261356960000000000000000000000000000000000000000000000000000000000,34
2,5,0.96312018496252687520500224000000000000000000000000000000000000000000000000000000,170
2,6,0.97236766046308734169238628748800000000000000000000000000000000000000000000000000,832
2,7,0.97305524952041490880316880613294080000000000000000000000000000000000000000000000,4038
3,4,0.94205470318561974886120000000000000000000000000000000000000000000000000000000000,32
3,5,0.94461863379488997406721040000000000000000000000000000000000000000000000000000000,159
3,6,0.97328836245405286562969544140800000000000000000000000000000000000000000000000000,778
3,7,0.97383208874024319750766187438767360000000000000000000000000000000000000000000000,3785
4,4,0.85435582563986798791340000000000000000000000000000000000000000000000000000000000,30
4,5,0.91424244993266861579560748000000000000000000000000000000000000000000000000000000,146
4,6,0.91843693643737329089721912660800000000000000000000000000000000000000000000000000,717
4,7,0.95605731471729449914268687927596640000000000000000000000000000000000000000000000,3547
5,4,0.89794950368263037610800000000000000000000000000000000000000000000000000000000000,29
5,5,0.91665313339566054370507600000000000000000000000000000000000000000000000000000000,146
5,6,0.95714107801000949039685578144000000000000000000000000000000000000000000000000000,715
5,7,0.96561104691261900640349190767504000000000000000000000000000000000000000000000000,3489
6,4,0.89971702105216075407360000000000000000000000000000000000000000000000000000000000,29
6,5,0.91850367404161230951505920000000000000000000000000000000000000000000000000000000,146
6,6,0.95917145354637451226457410764800000000000000000000000000000000000000000000000000,714
6,7,0.96767902767741974762741200694476800000000000000000000000000000000000000000000000,3477
