embedding,horizon,lambda,time
0,4,0.95531205103271041820800000000000000000000000000000000000000000000000000000000000,39
0,5,0.96214174679820107448112000000000000000000000000000000000000000000000000000000000,193
0,6,0.97916757732834191739225612544000000000000000000000000000000000000000000000000000,945
0,7,0.98024568605628704104853200708480000000000000000000000000000000000000000000000000,4596
1,4,0.91394818294631746608640000000000000000000000000000000000000000000000000000000000,38
1,5,0.92164761914911897095560704000000000000000000000000000000000000000000000000000000,193
1,6,0.94084762869737215331080474009600000000000000000000000000000000000000000000000000,946
1,7,0.94235660886112716848380017719603200000000000000000000000000000000000000000000000,4597
2,4,0.89318139873802781527040000000000000000000000000000000000000000000000000000000000,38
2,5,0.89616958876843682666645504000000000000000000000000000000000000000000000000000000,190
2,6,0.93513646749466350845331896729600000000000000000000000000000000000000000000000000,933
2,7,0.93609356085588327153138422816768000000000000000000000000000000000000000000000000,4532
