embedding,horizon,lambda,time
0,4,0.92207261695349703872000000000000000000000000000000000000000000000000000000000000,34
0,5,0.92840368370779949430080000000000000000000000000000000000000000000000000000000000,170
0,6,0.96088543272630671940661376000000000000000000000000000000000000000000000000000000,833
0,7,0.96263628290614230919502841920000000000000000000000000000000000000000000000000000,4049
1,4,0.93228160285081574750400000000000000000000000000000000000000000000000000000000000,34
1,5,0.93876586874551992771656000000000000000000000000000000000000000000000000000000000,170
1,6,0.97203347249027085969297283200000000000000000000000000000000000000000000000000000,833
1,7,0.97382668662135533554484808744000000000000000000000000000000000000000000000000000,4050
2,4,0.94755999009587145180800000000000000000000000000000000000000000000000000000000000,34
2,5,0.95561604988908610944054400000000000000000000000000000000000000000000000000000000,170
2,6,0.97506969313964171199083052800000000000000000000000000000000000000000000000000000,832
2,7,0.97656304626881711188204870928000000000000000000000000000000000000000000000000000,4038
