embedding,horizon,lambda,time
0,4,0.96332724806137241721600000000000000000000000000000000000000000000000000000000000,34
0,5,0.96944315835389016932325120000000000000000000000000000000000000000000000000000000,170
0,6,0.97635779447684493237230940672000000000000000000000000000000000000000000000000000,833
0,7,0.97687700126219031184005208157337600000000000000000000000000000000000000000000000,4050
1,4,0.97023037190499864319360000000000000000000000000000000000000000000000000000000000,34
1,5,0.97643741003224844338375552000000000000000000000000000000000000000000000000000000,170
1,6,0.98345507528516331373704535091200000000000000000000000000000000000000000000000000,833
1,7,0.98398201832065203503020684490152960000000000000000000000000000000000000000000000,4052
2,4,0.97126307986864992760090000000000000000000000000000000000000000000000000000000000,34
2,5,0.97295963013612882722704318000000000000000000000000000000000000000000000000000000,170
2,6,0.98572791591742091705672885288800000000000000000000000000000000000000000000000000,831
2,7,0.98588420245765161180215914101645040000000000000000000000000000000000000000000000,4039
3,4,0.96594038407500157569720000000000000000000000000000000000000000000000000000000000,32
3,5,0.97544553380946070591442160000000000000000000000000000000000000000000000000000000,159
3,6,0.98158206788217502875935610355200000000000000000000000000000000000000000000000000,778
3,7,0.98255120563274760786532674901163520000000000000000000000000000000000000000000000,3786
4,4,0.96875493201274644004760000000000000000000000000000000000000000000000000000000000,29
4,5,0.97831750552643656935157232000000000000000000000000000000000000000000000000000000,146
4,6,0.98449109358272740845352061120000000000000000000000000000000000000000000000000000,717
4,7,0.98546608564035752932892328086842880000000000000000000000000000000000000000000000,3547
