embedding,horizon,lambda,time
0,4,0.94054262748381350439120000000000000000000000000000000000000000000000000000000000,34
0,5,0.95737127945361878025894384000000000000000000000000000000000000000000000000000000,170
0,6,0.96579712998133634243409063379200000000000000000000000000000000000000000000000000,833
0,7,0.96876496709385371562607763998780800000000000000000000000000000000000000000000000,4047
1,4,0.95124582671653089348420000000000000000000000000000000000000000000000000000000000,34
1,5,0.96848332730817532944836340000000000000000000000000000000000000000000000000000000,171
1,6,0.97711386793040075455030493092800000000000000000000000000000000000000000000000000,833
1,7,0.98015380721842060666838885887143840000000000000000000000000000000000000000000000,4048
2,4,0.93498576476625467912760000000000000000000000000000000000000000000000000000000000,34
2,5,0.94429442971605926451046584000000000000000000000000000000000000000000000000000000,170
2,6,0.96544300187285886613853027356800000000000000000000000000000000000000000000000000,831
2,7,0.96741114719890192787915713274988480000000000000000000000000000000000000000000000,4037
