embedding,horizon,lambda,time
0,4,0.84251442257637828620080000000000000000000000000000000000000000000000000000000000,40
0,5,0.84251478679595515977345436000000000000000000000000000000000000000000000000000000,196
0,6,0.92568057632762343862005154566400000000000000000000000000000000000000000000000000,962
0,7,0.92568070898299299470816140007300320000000000000000000000000000000000000000000000,4621
1,4,0.96030804813984578859750000000000000000000000000000000000000000000000000000000000,38
1,5,0.96030900844789392844328859750000000000000000000000000000000000000000000000000000,188
1,6,0.97283724855347002789202520420000000000000000000000000000000000000000000000000000,913
1,7,0.97283822139071858136205309622520420000000000000000000000000000000000000000000000,4467
2,4,0.96977378851042104455040000000000000000000000000000000000000000000000000000000000,37
2,5,0.96977378851042104455040000000000000000000000000000000000000000000000000000000000,187
2,6,0.98256065846139359709254268364800000000000000000000000000000000000000000000000000,923
2,7,0.98256065846139359709254268364800000000000000000000000000000000000000000000000000,4476
