embedding,horizon,lambda,time
0,4,0.96880530947244790296540000000000000000000000000000000000000000000000000000000000,35
0,5,0.97039924144584436233312468000000000000000000000000000000000000000000000000000000,171
0,6,0.98816338165998662337160236072000000000000000000000000000000000000000000000000000,844
0,7,0.98836088863808764855792836906229920000000000000000000000000000000000000000000000,4097
1,4,0.96913325799697161751920000000000000000000000000000000000000000000000000000000000,34
1,5,0.97072830159533249985876528000000000000000000000000000000000000000000000000000000,173
1,6,0.98850483062147170364687901100800000000000000000000000000000000000000000000000000,839
1,7,0.98870247534257961698179534664419200000000000000000000000000000000000000000000000,4087
2,4,0.89653559707473304257780000000000000000000000000000000000000000000000000000000000,34
2,5,0.90438702169680285682084044000000000000000000000000000000000000000000000000000000,172
2,6,0.93132159557696742357539877076800000000000000000000000000000000000000000000000000,838
2,7,0.93339711810552665455658366247391200000000000000000000000000000000000000000000000,4086
3,4,0.98383301477631732865760000000000000000000000000000000000000000000000000000000000,35
3,5,0.98383302153007057488409248000000000000000000000000000000000000000000000000000000,172
3,6,0.99036840565384223802078910515200000000000000000000000000000000000000000000000000,842
3,7,0.99036840579068192359349301270717440000000000000000000000000000000000000000000000,4086
4,4,0.98744333798901100050000000000000000000000000000000000000000000000000000000000000,35
4,5,0.98773580339180530710030000000000000000000000000000000000000000000000000000000000,171
4,6,0.99258257904229959532135164000000000000000000000000000000000000000000000000000000,837
4,7,0.99259182999205814980988120127600000000000000000000000000000000000000000000000000,4070
5,4,0.98443505272659269948600000000000000000000000000000000000000000000000000000000000,35
5,5,0.98627591691673490275298560000000000000000000000000000000000000000000000000000000,171
5,6,0.98914878363349515360505588064000000000000000000000000000000000000000000000000000,837
5,7,0.98920259994237115127871924796092800000000000000000000000000000000000000000000000,4070
6,4,0.98696543266378677735360000000000000000000000000000000000000000000000000000000000,34
6,5,0.98881590849770089771052328000000000000000000000000000000000000000000000000000000,171
6,6,0.99170377524689616815345703619200000000000000000000000000000000000000000000000000,838
6,7,0.99175787254525739370609714980955840000000000000000000000000000000000000000000000,4070
