embedding,horizon,lambda,time
0,4,0.98206116361972520761240000000000000000000000000000000000000000000000000000000000,34
0,5,0.98273605190944024418711800000000000000000000000000000000000000000000000000000000,170
0,6,0.99056404523212788210474437334400000000000000000000000000000000000000000000000000,833
0,7,0.99059976141923082009468578172514240000000000000000000000000000000000000000000000,4049
1,4,0.98381187590549466570360000000000000000000000000000000000000000000000000000000000,34
1,5,0.98448920917112781888370632000000000000000000000000000000000000000000000000000000,170
1,6,0.99234567230365971875593012752000000000000000000000000000000000000000000000000000,833
1,7,0.99238151811526425863179384562326080000000000000000000000000000000000000000000000,4050
2,4,0.98824284801481963631480000000000000000000000000000000000000000000000000000000000,34
2,5,0.98970757805886709522374440000000000000000000000000000000000000000000000000000000,170
2,6,0.99241709428354784661186610889600000000000000000000000000000000000000000000000000,831
2,7,0.99245470204767758978593024537486400000000000000000000000000000000000000000000000,4037
3,4,0.97581273310458151424000000000000000000000000000000000000000000000000000000000000,32
3,5,0.97923857758294530114252800000000000000000000000000000000000000000000000000000000,159
3,6,0.98519680629971559932340469760000000000000000000000000000000000000000000000000000,779
3,7,0.98540003506806377069734532022272000000000000000000000000000000000000000000000000,3784
4,4,0.98151146472339392002040000000000000000000000000000000000000000000000000000000000,29
4,5,0.98497832971289893031507744000000000000000000000000000000000000000000000000000000,147
4,6,0.99100791315085676490843693363200000000000000000000000000000000000000000000000000,716
4,7,0.99121357547577245439377990954209280000000000000000000000000000000000000000000000,3546
