embedding,horizon,lambda,time
0,4,0.95967229148266735208000000000000000000000000000000000000000000000000000000000000,34
0,5,0.96380932860601135824872000000000000000000000000000000000000000000000000000000000,170
0,6,0.98593696116640399924314704000000000000000000000000000000000000000000000000000000,833
0,7,0.98664711254788586131005100904000000000000000000000000000000000000000000000000000,4048
1,4,0.96207171877344161353800000000000000000000000000000000000000000000000000000000000,34
1,5,0.96623037181744166298739200000000000000000000000000000000000000000000000000000000,170
1,6,0.98847353177952764217608834400000000000000000000000000000000000000000000000000000,833
1,7,0.98918739248424160781287777904400000000000000000000000000000000000000000000000000,4048
2,4,0.95872718169719195492000000000000000000000000000000000000000000000000000000000000,34
2,5,0.96808520615023536360036800000000000000000000000000000000000000000000000000000000,170
2,6,0.98668803632495711429574613760000000000000000000000000000000000000000000000000000,832
2,7,0.98841092521003566641968658706176000000000000000000000000000000000000000000000000,4037
