embedding,horizon,lambda,time
0,4,0.77809637913514353028080000000000000000000000000000000000000000000000000000000000,34
0,5,0.82476108029235621414696624000000000000000000000000000000000000000000000000000000,170
0,6,0.85897754837500060388440289145600000000000000000000000000000000000000000000000000,833
0,7,0.90363495517686567575469075305819520000000000000000000000000000000000000000000000,4048
1,4,0.96888655641402952793340000000000000000000000000000000000000000000000000000000000,34
1,5,0.97667005478928359562267816000000000000000000000000000000000000000000000000000000,170
1,6,0.97990248057780396623850973075200000000000000000000000000000000000000000000000000,834
1,7,0.98045750795012152332344594172683520000000000000000000000000000000000000000000000,4049
2,4,0.94806350626682341584000000000000000000000000000000000000000000000000000000000000,34
2,5,0.96544833151003436437459200000000000000000000000000000000000000000000000000000000,170
2,6,0.97279186091776917636496999680000000000000000000000000000000000000000000000000000,832
2,7,0.97574875683308168136116225296896000000000000000000000000000000000000000000000000,4036
3,4,0.95155539693042301200000000000000000000000000000000000000000000000000000000000000,32
3,5,0.96907577058141857476560000000000000000000000000000000000000000000000000000000000,159
3,6,0.97647654490871999789699424000000000000000000000000000000000000000000000000000000,779
3,7,0.97945649485301298570297384412800000000000000000000000000000000000000000000000000,3784
4,4,0.87757394005515192450000000000000000000000000000000000000000000000000000000000000,29
4,5,0.94138394340048457566050000000000000000000000000000000000000000000000000000000000,147
4,6,0.94652241630189157095580842000000000000000000000000000000000000000000000000000000,716
4,7,0.96371569441399752823431812202000000000000000000000000000000000000000000000000000,3546
5,4,0.97351985707170529980160000000000000000000000000000000000000000000000000000000000,29
5,5,0.97768682741393630643985408000000000000000000000000000000000000000000000000000000,146
5,6,0.98209745187654212975717407129600000000000000000000000000000000000000000000000000,715
5,7,0.98232486844993972917546342596608000000000000000000000000000000000000000000000000,3488
6,4,0.97385626242541462797840000000000000000000000000000000000000000000000000000000000,30
6,5,0.97802618670211657878934464000000000000000000000000000000000000000000000000000000,145
6,6,0.98243993054160466914036635443200000000000000000000000000000000000000000000000000,715
6,7,0.98266750823280500221603956697620480000000000000000000000000000000000000000000000,3475
