embedding,horizon,lambda,time
0,4,0.95543040666706931948800000000000000000000000000000000000000000000000000000000000,34
0,5,0.96909334886708139907264000000000000000000000000000000000000000000000000000000000,170
0,6,0.97354200284740533218539878400000000000000000000000000000000000000000000000000000,833
0,7,0.97520893644757560594304320256000000000000000000000000000000000000000000000000000,4047
1,4,0.95478073514173078705000000000000000000000000000000000000000000000000000000000000,34
1,5,0.95569030261200524862410000000000000000000000000000000000000000000000000000000000,170
1,6,0.97694871352725996453396520000000000000000000000000000000000000000000000000000000,833
1,7,0.97708173231238278289240788040000000000000000000000000000000000000000000000000000,4048
2,4,0.85041657060524920832000000000000000000000000000000000000000000000000000000000000,34
2,5,0.85462156945251219881984000000000000000000000000000000000000000000000000000000000,170
2,6,0.90426578584329906466095104000000000000000000000000000000000000000000000000000000,831
2,7,0.90620617415137087710112120832000000000000000000000000000000000000000000000000000,4037
3,4,0.88399020720670836224000000000000000000000000000000000000000000000000000000000000,32
3,5,0.88859808369318886258688000000000000000000000000000000000000000000000000000000000,159
3,6,0.94299867349257764968214528000000000000000000000000000000000000000000000000000000,778
3,7,0.94512496888151110360621236224000000000000000000000000000000000000000000000000000,3784
4,4,0.76425886299535072830000000000000000000000000000000000000000000000000000000000000,30
4,5,0.83243753600416657220140000000000000000000000000000000000000000000000000000000000,147
4,6,0.84191174615214320436041160000000000000000000000000000000000000000000000000000000,716
4,7,0.86520808017884311436568481200000000000000000000000000000000000000000000000000000,3545
5,4,0.77047329213150113550000000000000000000000000000000000000000000000000000000000000,30
5,5,0.84025551514544378445900000000000000000000000000000000000000000000000000000000000,146
5,6,0.84995252222311368101694600000000000000000000000000000000000000000000000000000000,715
5,7,0.87379691302439172160601022000000000000000000000000000000000000000000000000000000,3487
