embedding,horizon,lambda,time
0,4,0.95475779934005591869840000000000000000000000000000000000000000000000000000000000,38
0,5,0.95994203825253825617156176000000000000000000000000000000000000000000000000000000,194
0,6,0.98122153814739286289745273913600000000000000000000000000000000000000000000000000,945
0,7,0.98212861924567098500279437912144000000000000000000000000000000000000000000000000,4600
1,4,0.96225751425539179342080000000000000000000000000000000000000000000000000000000000,39
1,5,0.96632538478083924120290304000000000000000000000000000000000000000000000000000000,193
1,6,0.98156507001416985741705650073600000000000000000000000000000000000000000000000000,946
1,7,0.98207573453388207025762641053368320000000000000000000000000000000000000000000000,4602
2,4,0.96568785251261229464800000000000000000000000000000000000000000000000000000000000,38
2,5,0.97490847522420868624203040000000000000000000000000000000000000000000000000000000,190
2,6,0.98696448967989813600962682688000000000000000000000000000000000000000000000000000,934
2,7,0.98823916582354428989583974503072000000000000000000000000000000000000000000000000,4536
