embedding,horizon,lambda,time
0,4,0.93238918240717288589930000000000000000000000000000000000000000000000000000000000,40
0,5,0.95928372381810086987870170000000000000000000000000000000000000000000000000000000,196
0,6,0.96205160374269081191937928719200000000000000000000000000000000000000000000000000,964
0,7,0.96789876286212036612623704301556560000000000000000000000000000000000000000000000,4628
1,4,0.93762149690463609753000000000000000000000000000000000000000000000000000000000000,38
1,5,0.96484151937734092803636600000000000000000000000000000000000000000000000000000000,188
1,6,0.96764289643133804260979464080000000000000000000000000000000000000000000000000000,915
1,7,0.97356081858369640353206752227960000000000000000000000000000000000000000000000000,4473
2,4,0.86680964149338487668480000000000000000000000000000000000000000000000000000000000,37
2,5,0.88192221932291233360421376000000000000000000000000000000000000000000000000000000,187
2,6,0.94245202573488660765234392985600000000000000000000000000000000000000000000000000,925
2,7,0.95187838250946908085935222866452480000000000000000000000000000000000000000000000,4483
3,4,0.87275878770596728523220000000000000000000000000000000000000000000000000000000000,38
3,5,0.88811655366218562876797244000000000000000000000000000000000000000000000000000000,187
3,6,0.94962814601069972294582436446400000000000000000000000000000000000000000000000000,915
3,7,0.95920742119569487300335072776433120000000000000000000000000000000000000000000000,4455
4,4,0.96896767409545620111000000000000000000000000000000000000000000000000000000000000,37
4,5,0.97225044845124725739777000000000000000000000000000000000000000000000000000000000,185
4,6,0.97757489376103805544587640720000000000000000000000000000000000000000000000000000,915
4,7,0.97775612783254871360277548034120000000000000000000000000000000000000000000000000,4463
5,4,0.97266857068040722025000000000000000000000000000000000000000000000000000000000000,37
5,5,0.98278369142062670711809472000000000000000000000000000000000000000000000000000000,184
5,6,0.98731877562521173984352166598400000000000000000000000000000000000000000000000000,903
5,7,0.98827321595487199244578403443445120000000000000000000000000000000000000000000000,4412
