embedding,horizon,lambda,time
0,4,0.88944929299938702560000000000000000000000000000000000000000000000000000000000000,34
0,5,0.89100706696943897770240000000000000000000000000000000000000000000000000000000000,171
0,6,0.93336996666224705756706560000000000000000000000000000000000000000000000000000000,832
0,7,0.93389708475324464867801930240000000000000000000000000000000000000000000000000000,4049
1,4,0.84822236959990664312400000000000000000000000000000000000000000000000000000000000,34
1,5,0.85936537957088823157840000000000000000000000000000000000000000000000000000000000,170
1,6,0.91695275780472389198684697600000000000000000000000000000000000000000000000000000,833
1,7,0.92358509186923466837615902924800000000000000000000000000000000000000000000000000,4049
2,4,0.76612696346400653224500000000000000000000000000000000000000000000000000000000000,35
2,5,0.82201365544355290398679800000000000000000000000000000000000000000000000000000000,169
2,6,0.83010597239074161869106180000000000000000000000000000000000000000000000000000000,832
2,7,0.87780658131968533210956440277600000000000000000000000000000000000000000000000000,4037
3,4,0.78632624355536853744800000000000000000000000000000000000000000000000000000000000,32
3,5,0.84645483005002558231208000000000000000000000000000000000000000000000000000000000,159
3,6,0.85516152542582547095879878400000000000000000000000000000000000000000000000000000,778
3,7,0.90648274104127379831274380192000000000000000000000000000000000000000000000000000,3784
4,4,0.91816879057549143460000000000000000000000000000000000000000000000000000000000000,30
4,5,0.92569583007785800842280000000000000000000000000000000000000000000000000000000000,146
4,6,0.93835132122202694699153440000000000000000000000000000000000000000000000000000000,716
4,7,0.93944849338369303661433701920000000000000000000000000000000000000000000000000000,3546
5,4,0.94125384123272594590200000000000000000000000000000000000000000000000000000000000,30
5,5,0.94919640910297674088186800000000000000000000000000000000000000000000000000000000,146
5,6,0.96255048448791101679505137600000000000000000000000000000000000000000000000000000,714
5,7,0.96370822417530557403524671857600000000000000000000000000000000000000000000000000,3488
6,4,0.91821697675420064250000000000000000000000000000000000000000000000000000000000000,29
6,5,0.92239916152173264892500000000000000000000000000000000000000000000000000000000000,146
6,6,0.95257446105642958168266000000000000000000000000000000000000000000000000000000000,715
6,7,0.95360644024092670946006730000000000000000000000000000000000000000000000000000000,3472
7,4,0.92154157230194739547400000000000000000000000000000000000000000000000000000000000,29
7,5,0.92575696993699995747491600000000000000000000000000000000000000000000000000000000,146
7,6,0.95617207399956175619223252800000000000000000000000000000000000000000000000000000,715
7,7,0.95721225116408874448185516756800000000000000000000000000000000000000000000000000,3472
8,4,0.93030841804160342577400000000000000000000000000000000000000000000000000000000000,29
8,5,0.95096324894564555220547600000000000000000000000000000000000000000000000000000000,146
8,6,0.95386524634048281816879275200000000000000000000000000000000000000000000000000000,704
8,7,0.95740019626372719685315927547200000000000000000000000000000000000000000000000000,3439
9,4,0.94253167357374132020000000000000000000000000000000000000000000000000000000000000,29
9,5,0.96377317274328374156960000000000000000000000000000000000000000000000000000000000,142
9,6,0.96675759702941110458502880000000000000000000000000000000000000000000000000000000,676
9,7,0.97039295170628535175044362240000000000000000000000000000000000000000000000000000,3381
