embedding,horizon,lambda,time
0,4,0.96383649704391191952810000000000000000000000000000000000000000000000000000000000,35
0,5,0.97580345749777280719803474000000000000000000000000000000000000000000000000000000,170
0,6,0.98377633491081514838352124840800000000000000000000000000000000000000000000000000,832
0,7,0.98534357591137799300574939380526480000000000000000000000000000000000000000000000,4048
1,4,0.96725065196632697800000000000000000000000000000000000000000000000000000000000000,34
1,5,0.97930570588713561403240000000000000000000000000000000000000000000000000000000000,170
1,6,0.98733728743934245423032112000000000000000000000000000000000000000000000000000000,833
1,7,0.98891606600322939327201379489600000000000000000000000000000000000000000000000000,4048
2,4,0.96784132969805222242600000000000000000000000000000000000000000000000000000000000,34
2,5,0.97298757882476379687268600000000000000000000000000000000000000000000000000000000,170
2,6,0.98744105341754810423231484400000000000000000000000000000000000000000000000000000,832
2,7,0.98808971238872446463344738087000000000000000000000000000000000000000000000000000,4036
