embedding,horizon,lambda,time
0,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,22
0,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,122
0,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,637
0,7,0.96937793698523577693510045952491678000000000000000000000000000000000000000000000,3236
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
1,7,0.97267202284490591711775371145225921680977500000000000000000000000000000000000000,3240
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,123
2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,639
2,7,0.94352738585462044218799802173649607648422400000000000000000000000000000000000000,3241
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
3,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,122
3,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,639
3,7,0.96421675158277604251452259667596339200000000000000000000000000000000000000000000,3239
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,122
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
4,7,0.92408268831257471455343945481192996821811200000000000000000000000000000000000000,3239
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
5,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,123
5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,637
5,7,0.93902337212073395420774566293661223885619200000000000000000000000000000000000000,3235
6,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,23
6,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,123
6,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,638
6,7,0.97113215221693183940794535579076547200000000000000000000000000000000000000000000,3237
7,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,22
7,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,122
7,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,637
7,7,0.86880372894163334526778344805567488000000000000000000000000000000000000000000000,3226
8,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
8,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,122
8,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,636
8,7,0.97536481175966980116021301869130932905484000000000000000000000000000000000000000,3229
