embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,29
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,172
0,6,0.98130226925523448520797213709812954500000000000000000000000000000000000000000000,945
0,7,0.98130325055750374044245734507026664312954500000000000000000000000000000000000000,5256
1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,11
1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,49
1,6,0.97198479542847049326261815812164780500000000000000000000000000000000000000000000,201
1,7,0.97198576741326592173311142073980592664780500000000000000000000000000000000000000,818
2,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,12
2,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,53
2,6,0.95846646250077869240921663535248720100000000000000000000000000000000000000000000,254
2,7,0.95846742096724119318790904456912255348720100000000000000000000000000000000000000,1122
