embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,27
0,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,153
0,6,0.96929848806545442419289171390725093400000000000000000000000000000000000000000000,821
0,7,0.96929945736394248964731590679896484125093400000000000000000000000000000000000000,4466
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,27
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,152
1,6,0.97304923185155773897623491984268447400000000000000000000000000000000000000000000,812
1,7,0.97305020490078959053397389607760431668447400000000000000000000000000000000000000,4379
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,45
2,6,0.97070181373690084942189293561282421500000000000000000000000000000000000000000000,194
2,7,0.97070278443871458632274235750575982782421500000000000000000000000000000000000000,800
