embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,45
0,6,0.96692251770811331816440957797038080000000000000000000000000000000000000000000000,189
0,7,0.96692655277200742802460363121265859063040000000000000000000000000000000000000000,769
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,28
1,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,160
1,6,0.98089460459908276902689474578897920000000000000000000000000000000000000000000000,902
1,7,0.98089564834091707256196956285314166718720000000000000000000000000000000000000000,4990
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,46
2,6,0.96482547259315083752161400328908516600000000000000000000000000000000000000000000,188
2,7,0.96482643741862343067245152490308845508516600000000000000000000000000000000000000,770
3,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,11
3,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,46
3,6,0.96581292532593518345200425550183000000000000000000000000000000000000000000000000,188
3,7,0.96581394985225993556142889004617816000000000000000000000000000000000000000000000,770
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,45
4,6,0.96735267001922812263685215267041286500000000000000000000000000000000000000000000,189
4,7,0.96735573797430660920648948535596000000000000000000000000000000000000000000000000,770
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,46
5,6,0.96543883525200120362076714652160000000000000000000000000000000000000000000000000,188
5,7,0.96543980069083645562197076728874652160000000000000000000000000000000000000000000,770
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,46
6,6,0.96733437486796952089304281715712000000000000000000000000000000000000000000000000,189
6,7,0.96733534220234438886256371019993715712000000000000000000000000000000000000000000,770
