embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,68
0,6,0.91032040238367654905740831532159460000000000000000000000000000000000000000000000,289
0,7,0.91032331270807893273395337272790992159460000000000000000000000000000000000000000,1200
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,18
1,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,75
1,6,0.98083413166229413365160165739066900800000000000000000000000000000000000000000000,296
1,7,0.98083515083216245535746400580301161733099200000000000000000000000000000000000000,1199
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,15
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,72
2,6,0.97984868722845877802050976611778833600000000000000000000000000000000000000000000,293
2,7,0.97985369577356309503228510560623125931076400000000000000000000000000000000000000,1198
3,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,16
3,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,72
3,6,0.98289499041895933014997867294073932800000000000000000000000000000000000000000000,300
3,7,0.98289597331394974910930882291941226873932800000000000000000000000000000000000000,1199
4,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,17
4,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,75
4,6,0.98417059190023040729782006713751641600000000000000000000000000000000000000000000,302
4,7,0.98417157607082230752822736495758355351641600000000000000000000000000000000000000,1204
5,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,16
5,5,0.50000200000200000000000000000000000000000000000000000000000000000000000000000000,66
5,6,0.96285296882988992215807688457216000000000000000000000000000000000000000000000000,280
5,7,0.96285296882988992215807688457216000000000000000000000000000000000000000000000000,1147
