embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,46
0,5,0.50000200000200000000000000000000000000000000000000000000000000000000000000000000,264
0,6,0.96539752894589572472563950913191936000000000000000000000000000000000000000000000,1484
0,7,0.96539752894589572472563950913191936000000000000000000000000000000000000000000000,8201
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
1,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,75
1,6,0.97228898303804836936939783912200601600000000000000000000000000000000000000000000,310
1,7,0.97228995532703140741776720851984513800601600000000000000000000000000000000000000,1266
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,75
2,6,0.97983638621778188021138266573773706400000000000000000000000000000000000000000000,310
2,7,0.97983736605416809799326287712040280173706400000000000000000000000000000000000000,1267
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
3,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,75
3,6,0.97391728335183876524650718146370112600000000000000000000000000000000000000000000,311
3,7,0.97391825726912211708527242797088258970112600000000000000000000000000000000000000,1266
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
4,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,75
4,6,0.97674182494405671307025845591054186200000000000000000000000000000000000000000000,311
4,7,0.97674280168588165712697152616899777254186200000000000000000000000000000000000000,1266
