embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,11
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,47
0,6,0.97863620811823318426240109600280069000000000000000000000000000000000000000000000,192
0,7,0.97863718675444130249558535840389669280069000000000000000000000000000000000000000,785
1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,11
1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,46
1,6,0.98113489556854498098929894919195432000000000000000000000000000000000000000000000,193
1,7,0.98113587670344054953427993849090351195432000000000000000000000000000000000000000,785
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,11
2,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,46
2,6,0.98187341051995850886901328181303040000000000000000000000000000000000000000000000,193
2,7,0.98187445554502848675256685671436321156160000000000000000000000000000000000000000,785
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,46
3,6,0.97727328027642535274701149655963099200000000000000000000000000000000000000000000,192
3,7,0.97727425754970562917236424357112755163099200000000000000000000000000000000000000,786
