embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
0,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,76
0,6,0.97233504177206113757669009382548145600000000000000000000000000000000000000000000,319
0,7,0.97233601410710290963782767051557528148145600000000000000000000000000000000000000,1302
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,77
1,6,0.98375801754826122375805738248427052800000000000000000000000000000000000000000000,318
1,7,0.98375900130627877201928114054165301227052800000000000000000000000000000000000000,1301
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,18
2,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,77
2,6,0.98468582799683758737303087231087936000000000000000000000000000000000000000000000,318
2,7,0.98468686546793088712410007028994360708096000000000000000000000000000000000000000,1302
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,72
3,6,0.98600235732370992329119878004521600000000000000000000000000000000000000000000000,291
3,7,0.98600637267889385429112316235833233595392000000000000000000000000000000000000000,1176
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,68
4,6,0.97482770661245725173549515457976137600000000000000000000000000000000000000000000,289
4,7,0.97482868144016386419274689007491595576137600000000000000000000000000000000000000,1193
5,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,17
5,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,68
5,6,0.97988658966465617099635526975489654400000000000000000000000000000000000000000000,273
5,7,0.97988658966465617099635526975489654400000000000000000000000000000000000000000000,1128
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,15
6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,65
6,6,0.97339064531619397146240151114016000000000000000000000000000000000000000000000000,277
6,7,0.97339161870683928765637297354167114016000000000000000000000000000000000000000000,1129
