embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,137
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,719
0,7,0.97704291567718109285220589683809792000000000000000000000000000000000000000000000,3680
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
1,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,139
1,6,0.50000350000950001250000800000200000000000000000000000000000000000000000000000000,724
1,7,0.97810334331623394344991286306704013600000000000000000000000000000000000000000000,3674
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,26
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,138
2,6,0.50000600003000008000012000009600003200000000000000000000000000000000000000000000,714
2,7,0.97017710140585087696554074845409746800000000000000000000000000000000000000000000,3641
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,138
3,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,719
3,7,0.96743193541533873714835403661976961051059200000000000000000000000000000000000000,3662
4,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,25
4,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,136
4,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,712
4,7,0.97786178149352858034966265280980859890099200000000000000000000000000000000000000,3616
