embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,11
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,48
0,6,0.95431614740296184191370332785261868800000000000000000000000000000000000000000000,199
0,7,0.95431614740296184191370332785261868800000000000000000000000000000000000000000000,813
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,48
1,6,0.95376234869738814145590251600693529600000000000000000000000000000000000000000000,200
1,7,0.95376433065258528551970370747491655152038400000000000000000000000000000000000000,813
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,11
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,48
2,6,0.93929381860171412387154232367169440000000000000000000000000000000000000000000000,200
2,7,0.93929381860171412387154232367169440000000000000000000000000000000000000000000000,813
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,12
3,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,48
3,6,0.93735858169994254346203176969276160000000000000000000000000000000000000000000000,199
3,7,0.93736067503027976090857477671340441600000000000000000000000000000000000000000000,813
4,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,11
4,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,48
4,6,0.95152746420268674119981452598487840000000000000000000000000000000000000000000000,199
4,7,0.95152857662676197892075095527067582715801600000000000000000000000000000000000000,814
