embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,27
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,143
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,743
0,7,0.98400262854462462649794247508722783327060500000000000000000000000000000000000000,3706
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
1,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,139
1,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,723
1,7,0.98443317879103540366919368473915816000000000000000000000000000000000000000000000,3664
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,139
2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,694
2,7,0.91515539393062950418618519549829851200000000000000000000000000000000000000000000,3516
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,133
3,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,692
3,7,0.98648839761022120519294235324957699427150900000000000000000000000000000000000000,3520
4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,24
4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,133
4,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,694
4,7,0.98872359021554399527190246574370312500000000000000000000000000000000000000000000,3482
5,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,23
5,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,127
5,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,661
5,7,0.98443007827122268334485727637411040000000000000000000000000000000000000000000000,3382
6,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,24
6,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,128
6,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,663
6,7,0.98693407209601649646668911613207965126200000000000000000000000000000000000000000,3365
