embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
0,7,0.98672947154147933583595464779999672119035300000000000000000000000000000000000000,3238
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,639
1,7,0.98841609268485827696373606466403230017736500000000000000000000000000000000000000,3241
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,639
2,7,0.98855948611837226229213859248563932446427500000000000000000000000000000000000000,3238
3,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,22
3,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,122
3,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,639
3,7,0.97985068664198458869280129881189939200000000000000000000000000000000000000000000,3240
4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,23
4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,122
4,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,638
4,7,0.98558173414059808768031400261938022400000000000000000000000000000000000000000000,3238
