embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,38
0,5,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,199
0,6,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,1002
0,7,0.97887273505011466887430148559027097600000000000000000000000000000000000000000000,5083
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,36
1,5,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,192
1,6,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,1000
1,7,0.98201601955585400614779098338235859165465600000000000000000000000000000000000000,5159
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,37
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,199
2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1035
2,7,0.96747397224116282123085936841563162766656000000000000000000000000000000000000000,5254
