embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,68
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,287
0,7,0.50203087340381326689809435401884296548608000000000000000000000000000000000000000,1193
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,75
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,295
1,7,0.50211719189736753987968344493525039945520000000000000000000000000000000000000000,1192
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,71
2,6,0.96981390501885957257148796439105315200000000000000000000000000000000000000000000,291
2,7,0.96981488531672395550758382970741240000000000000000000000000000000000000000000000,1188
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,19
3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,69
3,6,0.93733576281342004381562510108767760000000000000000000000000000000000000000000000,298
3,7,0.93733576281342004381562510108767760000000000000000000000000000000000000000000000,1195
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
4,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,72
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,300
4,7,0.50000834801395387011688590099281629489200000000000000000000000000000000000000000,1204
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,66
5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,277
5,7,0.50000834801395387011688590099281629489200000000000000000000000000000000000000000,1142
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,15
6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,66
6,6,0.97269751164020938684164373819954980000000000000000000000000000000000000000000000,273
6,7,0.97269954969458952627667247582600563200000000000000000000000000000000000000000000,1126
