embedding,horizon,lambda,time
0,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,29
0,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,173
0,6,0.97239234974754203555658681210163200000000000000000000000000000000000000000000000,950
0,7,0.97239234974754203555658681210163200000000000000000000000000000000000000000000000,5285
1,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,27
1,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,151
1,6,0.97968844208887511075676746538216960000000000000000000000000000000000000000000000,826
1,7,0.97968942177731719963187822214963498216960000000000000000000000000000000000000000,4309
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,12
2,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,54
2,6,0.98285573526054202977614559552009057000000000000000000000000000000000000000000000,246
2,7,0.98285671811627729031817537166568609009057000000000000000000000000000000000000000,1072
