embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,16
0,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,69
0,6,0.95768856886186620036034684789562294400000000000000000000000000000000000000000000,281
0,7,0.95768856886186620036034684789562294400000000000000000000000000000000000000000000,1147
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,68
1,6,0.91494099763465489840560515498404960000000000000000000000000000000000000000000000,280
1,7,0.91494191257565253306050356058920458404960000000000000000000000000000000000000000,1141
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,68
2,6,0.92922416601473516991740273486604640000000000000000000000000000000000000000000000,281
2,7,0.92922509523890118465257265226878126604640000000000000000000000000000000000000000,1148
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,69
3,6,0.92568668871628304214724532320732006400000000000000000000000000000000000000000000,281
3,7,0.92568761440297175843028747045264327132006400000000000000000000000000000000000000,1148
4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,16
4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,67
4,6,0.94093810900762399763919059596400000000000000000000000000000000000000000000000000,281
4,7,0.94093810900762399763919059596400000000000000000000000000000000000000000000000000,1144
5,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,16
5,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,67
5,6,0.94345435475965004579845156446050000000000000000000000000000000000000000000000000,281
5,7,0.94345435475965004579845156446050000000000000000000000000000000000000000000000000,1143
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
6,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,67
6,6,0.93544860517924652755013393486738416000000000000000000000000000000000000000000000,280
6,7,0.93544954062785170679666148500131902738416000000000000000000000000000000000000000,1142
7,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
7,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,68
7,6,0.94088900272138517484845008644831664000000000000000000000000000000000000000000000,280
7,7,0.94089194361638790223362693489840308831664000000000000000000000000000000000000000,1132
