embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,75
0,6,0.98257355896642171976030258578090250400000000000000000000000000000000000000000000,311
0,7,0.98257454153998068618202234608348828490250400000000000000000000000000000000000000,1267
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
1,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,75
1,6,0.98526629505623400740249044371757862400000000000000000000000000000000000000000000,310
1,7,0.98526728032252906363649784620802234157862400000000000000000000000000000000000000,1267
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,17
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,75
2,6,0.98187384423516703325918037006621696000000000000000000000000000000000000000000000,311
2,7,0.98187384423516703325918037006621696000000000000000000000000000000000000000000000,1267
3,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,18
3,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,75
3,6,0.98219501023949958119980567072018000000000000000000000000000000000000000000000000,310
3,7,0.98219501023949958119980567072018000000000000000000000000000000000000000000000000,1268
