embedding,horizon,lambda,time
0,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,23
0,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,122
0,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,636
0,7,0.96929271251455211908754043600505296000000000000000000000000000000000000000000000,3244
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
1,7,0.98326352986227531245039871393719353120128000000000000000000000000000000000000000,3245
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,22
2,5,0.50000300000450000000000000000000000000000000000000000000000000000000000000000000,123
2,6,0.50000300000450000000000000000000000000000000000000000000000000000000000000000000,639
2,7,0.98421469802252684517020648525204889600000000000000000000000000000000000000000000,3248
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
3,5,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,122
3,6,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,639
3,7,0.98836234099990270153786636712510054400000000000000000000000000000000000000000000,3247
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
4,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,123
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,639
4,7,0.98896680494213120670417119508007013926400000000000000000000000000000000000000000,3241
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,123
5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,637
5,7,0.98932527162524158913867650588898058065408000000000000000000000000000000000000000,3237
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,23
6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,123
6,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
6,7,0.98351935670932563702673303499436032000000000000000000000000000000000000000000000,3233
7,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
7,5,0.50000099999449999400001800000000000000000000000000000000000000000000000000000000,122
7,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,634
7,7,0.98419616241573957962375341543282918124544000000000000000000000000000000000000000,3224
