embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
0,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,122
0,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,635
0,7,0.98363919646003006503974517181596130161697200000000000000000000000000000000000000,3242
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,122
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,638
1,7,0.98484755172162523436375600614379880709806000000000000000000000000000000000000000,3244
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,22
2,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,122
2,6,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,639
2,7,0.98176690729876023859330666539594547200000000000000000000000000000000000000000000,3254
3,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,23
3,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,123
3,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,641
3,7,0.98038713963168647613646007429507680800000000000000000000000000000000000000000000,3258
4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,23
4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,122
4,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,641
4,7,0.98295635371122767966225130110980159200000000000000000000000000000000000000000000,3243
