embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,138
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,720
0,7,0.98155925106443268516553796983267980000000000000000000000000000000000000000000000,3663
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,138
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,722
1,7,0.98306047888628921937193162011569797665640000000000000000000000000000000000000000,3668
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,26
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,137
2,6,0.50000600003000008000012000009600003200000000000000000000000000000000000000000000,715
2,7,0.98401170355078491188185994545064616000000000000000000000000000000000000000000000,3647
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
3,5,0.50000099999849999800000200000000000000000000000000000000000000000000000000000000,137
3,6,0.50000099999849999800000200000000000000000000000000000000000000000000000000000000,719
3,7,0.98179729024783588945633927065644883600000000000000000000000000000000000000000000,3644
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,136
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,711
4,7,0.98364477907050784577722757400754448303528400000000000000000000000000000000000000,3609
