embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,24
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,126
0,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,659
0,7,0.98275629565088457936265467543616000000000000000000000000000000000000000000000000,3370
1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,23
1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,127
1,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,659
1,7,0.98525730963493145696185323336944000000000000000000000000000000000000000000000000,3345
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,24
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,125
2,6,0.50000600003000008000012000009600003200000000000000000000000000000000000000000000,655
2,7,0.98528292225937575264199398563480960000000000000000000000000000000000000000000000,3325
