embedding,horizon,lambda,time
0,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,26
0,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,142
0,6,0.50000600003000008000012000009600003200000000000000000000000000000000000000000000,736
0,7,0.97285636941320079244820437080422400000000000000000000000000000000000000000000000,3689
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
1,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,138
1,6,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,720
1,7,0.97309408956624235126237686466158643200000000000000000000000000000000000000000000,3653
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,25
2,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,138
2,6,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,695
2,7,0.96382274375607085740223734778810687500000000000000000000000000000000000000000000,3507
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,24
3,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,132
3,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,688
3,7,0.96746135062235772742471725635025000000000000000000000000000000000000000000000000,3507
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,25
4,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,132
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,690
4,7,0.96552736905226029415167989850280359120000000000000000000000000000000000000000000,3470
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,24
5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,126
5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,657
5,7,0.97103088521422410409495582657966560000000000000000000000000000000000000000000000,3373
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,24
6,5,0.50000300000650000600000200000000000000000000000000000000000000000000000000000000,128
6,6,0.50000350000950001250000800000200000000000000000000000000000000000000000000000000,662
6,7,0.97133204016724289965500560382528120000000000000000000000000000000000000000000000,3350
