embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,26
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,138
0,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,720
0,7,0.98307251179527851413208486577379500000000000000000000000000000000000000000000000,3667
1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,26
1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,139
1,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,720
1,7,0.98400672856527689117342951999056500000000000000000000000000000000000000000000000,3677
2,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,26
2,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,138
2,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,712
2,7,0.98207156937797225026831708012573171200000000000000000000000000000000000000000000,3636
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,27
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,138
3,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,715
3,7,0.96962361443533796568310768406062500000000000000000000000000000000000000000000000,3635
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,136
4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,710
4,7,0.97635439895146003043812006187625000000000000000000000000000000000000000000000000,3602
