embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,10
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
0,6,0.96395009538966865959563216590471168000000000000000000000000000000000000000000000,180
0,7,0.96395208226338391447155514189221273927680000000000000000000000000000000000000000,739
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,10
1,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,44
1,6,0.96965232044317081214342827145750344500000000000000000000000000000000000000000000,179
1,7,0.96965538411249942980583766620352032000000000000000000000000000000000000000000000,733
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
2,6,0.89084600991399612453498828576104448000000000000000000000000000000000000000000000,180
2,7,0.89084690076000603853111282074933024104448000000000000000000000000000000000000000,733
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,43
3,6,0.92264841053705948959304825414501376000000000000000000000000000000000000000000000,180
3,7,0.92264933318547002665253784719326790501376000000000000000000000000000000000000000,733
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,42
4,6,0.85819465641840019586343414408080000000000000000000000000000000000000000000000000,178
4,7,0.85819551461305661426363000751494408080000000000000000000000000000000000000000000,724
5,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,10
5,5,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,43
5,6,0.86666343745964374390519161597168000000000000000000000000000000000000000000000000,176
5,7,0.86666430412308120354893552116329597168000000000000000000000000000000000000000000,716
