embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,45
0,6,0.90754332989179195625205916290955800500000000000000000000000000000000000000000000,187
0,7,0.90754423743512184804401541496872091455800500000000000000000000000000000000000000,764
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,28
1,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,159
1,6,0.93291770004596765143629081917312890500000000000000000000000000000000000000000000,896
1,7,0.93291863296366769740394225546394807812890500000000000000000000000000000000000000,4950
2,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,12
2,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,52
2,6,0.92177594506223263131479674639096221900000000000000000000000000000000000000000000,238
2,7,0.92177686683817769354742806118770860996221900000000000000000000000000000000000000,1063
