embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,22
0,5,0.50000300000450000000000000000000000000000000000000000000000000000000000000000000,121
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,634
0,7,0.89428745243969424023140867108048800000000000000000000000000000000000000000000000,3227
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
1,5,0.50000099999449999400001800000000000000000000000000000000000000000000000000000000,122
1,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,635
1,7,0.94598325674063819194721077438082149161600000000000000000000000000000000000000000,3231
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,23
2,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,122
2,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,635
2,7,0.90469789927738859714884224952550400000000000000000000000000000000000000000000000,3230
3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,22
3,5,0.50000099999449999400001800000000000000000000000000000000000000000000000000000000,122
3,6,0.50000099999449999400001800000000000000000000000000000000000000000000000000000000,636
3,7,0.94317937916371327690248103273924443000000000000000000000000000000000000000000000,3227
4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,23
4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,122
4,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,635
4,7,0.92195825695848383608469711480860607800000000000000000000000000000000000000000000,3229
