embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,24
0,5,0.50000200000200000000000000000000000000000000000000000000000000000000000000000000,125
0,6,0.50000200000200000000000000000000000000000000000000000000000000000000000000000000,659
0,7,0.98655722852788732005182153874304000000000000000000000000000000000000000000000000,3352
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,24
1,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,126
1,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,660
1,7,0.98727027862733607933359882370700852423219200000000000000000000000000000000000000,3338
2,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,23
2,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,126
2,6,0.50000600003000008000012000009600003200000000000000000000000000000000000000000000,656
2,7,0.98880243029400000347838939763615442967667200000000000000000000000000000000000000,3321
