embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,46
0,6,0.97590489065879856070998776249445465600000000000000000000000000000000000000000000,190
0,7,0.97590688208053740786899709378248725063123200000000000000000000000000000000000000,777
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
1,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,46
1,6,0.97951628218954437825031491385478688000000000000000000000000000000000000000000000,190
1,7,0.97951726170582656779469316416970073478688000000000000000000000000000000000000000,778
2,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,11
2,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,46
2,6,0.96828733973041657201375864417962460800000000000000000000000000000000000000000000,190
2,7,0.96829040464290359782135262511888528000000000000000000000000000000000000000000000,778
3,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,11
3,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,46
3,6,0.96846006209405844485175468165752500800000000000000000000000000000000000000000000,191
3,7,0.96846103055412053891019953341220666552500800000000000000000000000000000000000000,777
4,4,0.50000400001200001600000800000000000000000000000000000000000000000000000000000000,10
4,5,0.50000500002000004000004000001600000000000000000000000000000000000000000000000000,46
4,6,0.97040176611736201121559932372150956800000000000000000000000000000000000000000000,191
4,7,0.97040273651912812857761053932083328950956800000000000000000000000000000000000000,778
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,11
5,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,46
5,6,0.96225182548892368124030164178120850500000000000000000000000000000000000000000000,190
5,7,0.96225478773874916616398688208485028420850500000000000000000000000000000000000000,778
