embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,141
0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,735
0,7,0.95080359570098754761149236580622196312500000000000000000000000000000000000000000,3723
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,140
1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,734
1,7,0.95635730137309692060134242281500000000000000000000000000000000000000000000000000,3744
2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
2,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,142
2,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,737
2,7,0.97373949265117051628243066713119234400000000000000000000000000000000000000000000,3740
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,140
3,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,731
3,7,0.98140441175005525829628370725786306082717500000000000000000000000000000000000000,3708
4,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
4,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,140
4,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,730
4,7,0.97463175915322777361753007807353856000000000000000000000000000000000000000000000,3714
5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,26
5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,141
5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,734
5,7,0.98423452901833896161603736753745445190877500000000000000000000000000000000000000,3733
