embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,70
0,6,0.91572057833186591967328176093191308800000000000000000000000000000000000000000000,293
0,7,0.91572254871800061634130636869326355086854400000000000000000000000000000000000000,1195
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
1,5,0.50000400001100001200000450000000000000000000000000000000000000000000000000000000,70
1,6,0.91552436534426316285810031301876850000000000000000000000000000000000000000000000,293
1,7,0.91552436534426316285810031301876850000000000000000000000000000000000000000000000,1195
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,82
2,6,0.90716757134673751531968075143593920000000000000000000000000000000000000000000000,372
2,7,0.90716847851430886205719607111669063593920000000000000000000000000000000000000000,1664
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,71
3,6,0.93618412549789846434738499621305336000000000000000000000000000000000000000000000,292
3,7,0.93618506168202396224584934359804957305336000000000000000000000000000000000000000,1195
4,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,17
4,5,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,71
4,6,0.91032957240771566560129522822378368000000000000000000000000000000000000000000000,292
4,7,0.91033048273728807331696082951901190378368000000000000000000000000000000000000000,1195
5,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,16
5,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,71
5,6,0.94309077805728950060838409667021625000000000000000000000000000000000000000000000,293
5,7,0.94309077805728950060838409667021625000000000000000000000000000000000000000000000,1195
6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,70
6,6,0.93001093743780214008785393013871875000000000000000000000000000000000000000000000,293
6,7,0.93001291752480436825690793612596369846762500000000000000000000000000000000000000,1196
7,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,16
7,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,71
7,6,0.93710728306305430405389938797238748600000000000000000000000000000000000000000000,293
7,7,0.93710822017033736710820344187177545838748600000000000000000000000000000000000000,1194
8,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
8,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,71
8,6,0.94656486557050947027648357045423625000000000000000000000000000000000000000000000,292
8,7,0.94656684490320763713564628773908442762303500000000000000000000000000000000000000,1195
9,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,17
9,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,70
9,6,0.95615828635419358771451663616954020000000000000000000000000000000000000000000000,293
9,7,0.95615924251247994190810435068617636954020000000000000000000000000000000000000000,1177
