embedding,horizon,lambda,time
0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
0,5,0.50000400001100001200000450000000000000000000000000000000000000000000000000000000,75
0,6,0.92627423966199943408144893500001400000000000000000000000000000000000000000000000,312
0,7,0.92627516593623909608088301644894900001400000000000000000000000000000000000000000,1275
1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,75
1,6,0.94186314103423053717695460076476200000000000000000000000000000000000000000000000,312
1,7,0.94186408289737157140749177771936276476200000000000000000000000000000000000000000,1275
2,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,18
2,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,75
2,6,0.95654805527159736340799482029240270500000000000000000000000000000000000000000000,312
2,7,0.95654901181965263500535822828722299740270500000000000000000000000000000000000000,1275
3,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,18
3,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,75
3,6,0.98142735148834502286453028238404436500000000000000000000000000000000000000000000,312
3,7,0.98142833291569651120955314691432674904436500000000000000000000000000000000000000,1275
4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,75
4,6,0.95866562156404346485208971084045635300000000000000000000000000000000000000000000,312
4,7,0.95866658022966502889555456293016719345635300000000000000000000000000000000000000,1275
5,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,18
5,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,75
5,6,0.86529001834913218335572409882971929500000000000000000000000000000000000000000000,312
5,7,0.86529285465476338605291066406258560000000000000000000000000000000000000000000000,1275
6,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,18
6,5,0.50000199999899999400000450000000000000000000000000000000000000000000000000000000,75
6,6,0.92956113359056480573914985375939330500000000000000000000000000000000000000000000,312
6,7,0.92956206315169839630395559290924706439330500000000000000000000000000000000000000,1275
7,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,18
7,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,75
7,6,0.95555441104571348147395499954879769600000000000000000000000000000000000000000000,312
7,7,0.95555441104571348147395499954879769600000000000000000000000000000000000000000000,1275
8,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,18
8,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,75
8,6,0.97838774490167132499866244508157712000000000000000000000000000000000000000000000,312
8,7,0.97838974087722437109684043417286319906398400000000000000000000000000000000000000,1275
