embedding,horizon,lambda,time
0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,38
0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,199
0,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,1001
0,7,0.97821079893243288296849725754565402000000000000000000000000000000000000000000000,5084
1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,35
1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,192
1,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,1000
1,7,0.98172451393678528971146039720692116000000000000000000000000000000000000000000000,5160
2,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,37
2,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,198
2,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,1035
2,7,0.98264206783519299266234220814603755600000000000000000000000000000000000000000000,5254
