embedding,horizon,lambda,time
0,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,25
0,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,149
0,6,0.95436059583332378662468435285871826500000000000000000000000000000000000000000000,834
0,7,0.95436369279663785884401608541938400000000000000000000000000000000000000000000000,4621
1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,26
1,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,149
1,6,0.95427881215078063138965196054243116000000000000000000000000000000000000000000000,842
1,7,0.95427992289920998033843227862553514176064000000000000000000000000000000000000000,4630
2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,10
2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
2,6,0.94254623024925521090473949559209685000000000000000000000000000000000000000000000,175
2,7,0.94254717279548546015995040033159244209685000000000000000000000000000000000000000,714
3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,10
3,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,42
3,6,0.95740090455522523770911534429025408000000000000000000000000000000000000000000000,175
3,7,0.95740296251963054253950313319680000000000000000000000000000000000000000000000000,715
4,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,11
4,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,49
4,6,0.96136447567179259674863091487132876800000000000000000000000000000000000000000000,222
4,7,0.96136447567179259674863091487132876800000000000000000000000000000000000000000000,1011
5,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,12
5,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,52
5,6,0.95023753183179382098703083633609932800000000000000000000000000000000000000000000,234
5,7,0.95023755682621945015713576196556839978598400000000000000000000000000000000000000,1065
