hardware,embedding,horizon,lambda,time
fake_guadalupe,0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,38
fake_guadalupe,0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,206
fake_guadalupe,0,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,1065
fake_guadalupe,0,7,0.97863620811823318426240109600280069000000000000000000000000000000000000000000000,5324
fake_guadalupe,1,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,39
fake_guadalupe,1,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,208
fake_guadalupe,1,6,0.50000900006750027000060750072900036450000000000000000000000000000000000000000000,1068
fake_guadalupe,1,7,0.98113489556854498098929894919195432000000000000000000000000000000000000000000000,5386
fake_guadalupe,2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,39
fake_guadalupe,2,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,208
fake_guadalupe,2,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,1068
fake_guadalupe,2,7,0.98187445554502848675256685671436321156160000000000000000000000000000000000000000,5386
fake_guadalupe,3,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,39
fake_guadalupe,3,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,208
fake_guadalupe,3,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1068
fake_guadalupe,3,7,0.97727328027642535274701149655963099200000000000000000000000000000000000000000000,5366
