hardware,embedding,horizon,lambda,time
fake_melbourne,0,4,0.94581151976933144523000000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,0,5,0.96498137449948195736775000000000000000000000000000000000000000000000000000000000,99
fake_melbourne,0,6,0.96757687838089780869677310000000000000000000000000000000000000000000000000000000,436
fake_melbourne,0,7,0.97049094516698509648659190995000000000000000000000000000000000000000000000000000,1905
fake_melbourne,1,4,0.89169886599535806480140000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,1,5,0.92193794992473845653274264000000000000000000000000000000000000000000000000000000,99
fake_melbourne,1,6,0.93086024457866484969048874592000000000000000000000000000000000000000000000000000,435
fake_melbourne,1,7,0.94047068262497670056851691407696640000000000000000000000000000000000000000000000,1903
fake_melbourne,2,4,0.90550418896512605106260000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,2,5,0.93680902647861783307595816000000000000000000000000000000000000000000000000000000,99
fake_melbourne,2,6,0.94604582388714934642046712992000000000000000000000000000000000000000000000000000,437
fake_melbourne,2,7,0.95599497954298820401554579545519360000000000000000000000000000000000000000000000,1904
fake_melbourne,3,4,0.77916589731399979803520000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,3,5,0.84415560180869895101779456000000000000000000000000000000000000000000000000000000,99
fake_melbourne,3,6,0.84562580962372929211415905868800000000000000000000000000000000000000000000000000,436
fake_melbourne,3,7,0.89511692440102776525424832423649280000000000000000000000000000000000000000000000,1902
fake_melbourne,4,4,0.93327490773768315100000000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,4,5,0.94159376696235605573920000000000000000000000000000000000000000000000000000000000,98
fake_melbourne,4,6,0.95825182703219369236460704000000000000000000000000000000000000000000000000000000,433
fake_melbourne,4,7,0.95969969871638797810434217676800000000000000000000000000000000000000000000000000,1887
fake_melbourne,5,4,0.93507040943564019750000000000000000000000000000000000000000000000000000000000000,21
fake_melbourne,5,5,0.94342376129689088929200000000000000000000000000000000000000000000000000000000000,98
fake_melbourne,5,6,0.96015093073145233707089040000000000000000000000000000000000000000000000000000000,433
fake_melbourne,5,7,0.96160480689698151067524029568000000000000000000000000000000000000000000000000000,1894
fake_melbourne,6,4,0.91320307459434645877280000000000000000000000000000000000000000000000000000000000,21
fake_melbourne,6,5,0.94526755558282894397356928000000000000000000000000000000000000000000000000000000,100
fake_melbourne,6,6,0.94693517304355777326574289715200000000000000000000000000000000000000000000000000,439
fake_melbourne,6,7,0.95536725938964578014994775686758400000000000000000000000000000000000000000000000,1910
fake_melbourne,7,4,0.91921710287582036711920000000000000000000000000000000000000000000000000000000000,22
fake_melbourne,7,5,0.95174842765910042760764992000000000000000000000000000000000000000000000000000000,99
fake_melbourne,7,6,0.95344032484741683223808427212800000000000000000000000000000000000000000000000000,437
fake_melbourne,7,7,0.96199517841338538292890131525017600000000000000000000000000000000000000000000000,1906
