backend,embedding,time
HANOI,0,0.3024759292602539
HANOI,1,0.3150341510772705
HANOI,2,0.39017486572265625
HANOI,3,0.37601208686828613
HANOI,4,0.34761619567871094
HANOI,5,0.3322780132293701
HANOI,6,0.3614959716796875
CAIRO,0,0.29618287086486816
CAIRO,1,0.3077077865600586
CAIRO,2,0.2898900508880615
CAIRO,3,0.3401789665222168
CAIRO,4,0.3617861270904541
CAIRO,5,0.37724995613098145
CAIRO,6,0.3897831439971924
CAIRO,7,0.39937400817871094
CAIRO,8,0.41733789443969727
CAIRO,9,0.41047000885009766
MUMBAI,0,0.2644069194793701
MUMBAI,1,0.28842902183532715
MUMBAI,2,0.3282320499420166
MUMBAI,3,0.3438098430633545
MUMBAI,4,0.34900689125061035
MUMBAI,5,0.3509221076965332
MUMBAI,6,0.3688192367553711
MUMBAI,7,0.41047191619873047
KOLKATA,0,0.31192994117736816
KOLKATA,1,0.28875112533569336
KOLKATA,2,0.3365440368652344
KOLKATA,3,0.39763927459716797
KOLKATA,4,0.4110701084136963
KOLKATA,5,0.4495718479156494
KOLKATA,6,0.41826939582824707
AUCKLAND,0,0.4121510982513428
AUCKLAND,1,0.33952784538269043
GENEVA,0,0.36841392517089844
GENEVA,1,0.36401796340942383
GENEVA,2,0.38360071182250977
MONTREAL,0,0.27592897415161133
MONTREAL,1,0.3363790512084961
MONTREAL,2,0.4089646339416504
MONTREAL,3,0.40384721755981445
PARIS,0,0.3484480381011963
PARIS,1,0.3222498893737793
PARIS,2,0.33139610290527344
PARIS,3,0.3434329032897949
PARIS,4,0.3637120723724365
PARIS,5,0.3778259754180908
PARIS,6,0.3888070583343506
SYDNEY,0,0.3914780616760254
SYDNEY,1,0.37670016288757324
SYDNEY,2,0.3826439380645752
SYDNEY,3,0.3845820426940918
SYDNEY,4,0.3370988368988037
SYDNEY,5,0.2965240478515625
TORONTO,0,0.3380270004272461
TORONTO,1,0.3482508659362793
TORONTO,2,0.35503101348876953
TORONTO,3,0.34137797355651855
TORONTO,4,0.36382603645324707
TORONTO,5,0.3929750919342041
TORONTO,6,0.3889641761779785
TORONTO,7,0.4199070930480957
TORONTO,8,0.42150020599365234
