hardware_spec,embedding_index,horizon,my_guarantee,baseline_guarantee,diff,best_baseline,diff_best
fake_tenerife,0,4,0.892,0.5,0.392,0.5,0.392
fake_tenerife,0,5,0.892,0.5,0.392,0.5,0.392
fake_tenerife,0,6,0.949,0.5,0.44899999999999995,0.5,0.44899999999999995
fake_tenerife,0,7,0.949,0.5,0.44899999999999995,0.5,0.44899999999999995
fake_tenerife,1,4,0.753,0.5,0.253,0.5,0.253
fake_tenerife,1,5,0.753,0.5,0.253,0.5,0.253
fake_tenerife,1,6,0.836,0.5,0.33599999999999997,0.5,0.33599999999999997
fake_tenerife,1,7,0.836,0.5,0.33599999999999997,0.5,0.33599999999999997
fake_athens,0,4,0.976,0.5,0.476,0.5,0.476
fake_athens,0,5,0.982,0.5,0.482,0.5,0.482
fake_athens,0,6,0.987,0.5,0.487,0.5,0.487
fake_athens,0,7,0.987,0.5,0.487,0.5,0.487
fake_athens,1,4,0.954,0.5,0.45399999999999996,0.5,0.45399999999999996
fake_athens,1,5,0.964,0.5,0.46399999999999997,0.5,0.46399999999999997
fake_athens,1,6,0.975,0.5,0.475,0.5,0.475
fake_athens,1,7,0.977,0.5,0.477,0.5,0.477
fake_athens,2,4,0.957,0.5,0.45699999999999996,0.5,0.45699999999999996
fake_athens,2,5,0.965,0.5,0.46499999999999997,0.5,0.46499999999999997
fake_athens,2,6,0.97,0.5,0.47,0.5,0.47
fake_athens,2,7,0.971,0.5,0.471,0.5,0.471
fake_belem,0,4,0.949,0.5,0.44899999999999995,0.5,0.44899999999999995
fake_belem,0,5,0.97,0.5,0.47,0.5,0.47
fake_belem,0,6,0.975,0.5,0.475,0.5,0.475
fake_belem,0,7,0.979,0.5,0.479,0.5,0.479
fake_belem,1,4,0.953,0.5,0.45299999999999996,0.5,0.45299999999999996
fake_belem,1,5,0.973,0.5,0.473,0.5,0.473
fake_belem,1,6,0.979,0.5,0.479,0.5,0.479
fake_belem,1,7,0.983,0.5,0.483,0.5,0.483
fake_belem,2,4,0.948,0.5,0.44799999999999995,0.5,0.44799999999999995
fake_belem,2,5,0.97,0.5,0.47,0.5,0.47
fake_belem,2,6,0.976,0.5,0.476,0.5,0.476
fake_belem,2,7,0.98,0.5,0.48,0.5,0.48
fake_bogota,0,4,0.955,0.5,0.45499999999999996,0.5,0.45499999999999996
fake_bogota,0,5,0.962,0.5,0.46199999999999997,0.5,0.46199999999999997
fake_bogota,0,6,0.979,0.5,0.479,0.5,0.479
fake_bogota,0,7,0.98,0.5,0.48,0.5,0.48
fake_bogota,1,4,0.914,0.5,0.41400000000000003,0.5,0.41400000000000003
fake_bogota,1,5,0.922,0.5,0.42200000000000004,0.5,0.42200000000000004
fake_bogota,1,6,0.941,0.5,0.44099999999999995,0.5,0.44099999999999995
fake_bogota,1,7,0.942,0.5,0.44199999999999995,0.5,0.44199999999999995
fake_bogota,2,4,0.893,0.5,0.393,0.5,0.393
fake_bogota,2,5,0.896,0.5,0.396,0.5,0.396
fake_bogota,2,6,0.935,0.5,0.43500000000000005,0.5,0.43500000000000005
fake_bogota,2,7,0.936,0.5,0.43600000000000005,0.5,0.43600000000000005
fake_burlington,0,4,0.922,0.5,0.42200000000000004,0.5,0.42200000000000004
fake_burlington,0,5,0.928,0.5,0.42800000000000005,0.5,0.42800000000000005
fake_burlington,0,6,0.961,0.5,0.46099999999999997,0.5,0.46099999999999997
