hardware,embedding,horizon,lambda,time
fake_almaden,0,4,0.95522861285074741637776500000000000000000000000000000000000000000000000000000000,10
fake_almaden,0,5,0.95817016104601019620895025925500000000000000000000000000000000000000000000000000,44
fake_almaden,0,6,0.97244150923702574981192456067494074500000000000000000000000000000000000000000000,182
fake_almaden,0,7,0.97678346948122631807688578552716465172922000000000000000000000000000000000000000,757
fake_almaden,1,4,0.90819017748769128291616000000000000000000000000000000000000000000000000000000000,10
fake_almaden,1,5,0.94640508796998833849045992256000000000000000000000000000000000000000000000000000,44
fake_almaden,1,6,0.94722385091379540898135331928756128000000000000000000000000000000000000000000000,182
fake_almaden,1,7,0.95262034145120219475233840706283984989248000000000000000000000000000000000000000,758
fake_almaden,2,4,0.97244936827231959621645200000000000000000000000000000000000000000000000000000000,10
fake_almaden,2,5,0.97791800680794353055320217096800000000000000000000000000000000000000000000000000,44
fake_almaden,2,6,0.97907245374076042325450350088323451600000000000000000000000000000000000000000000,182
fake_almaden,2,7,0.97912467721236407402105383298585522103634400000000000000000000000000000000000000,757
fake_almaden,3,4,0.78292263763721403726000000000000000000000000000000000000000000000000000000000000,10
fake_almaden,3,5,0.82003864876394626903930371799200000000000000000000000000000000000000000000000000,44
fake_almaden,3,6,0.85958289539707068676195966410966000000000000000000000000000000000000000000000000,182
fake_almaden,3,7,0.86047041595582468024187023294085044374177600000000000000000000000000000000000000,758
fake_boeblingen,0,4,0.94461831917464877568000000000000000000000000000000000000000000000000000000000000,10
fake_boeblingen,0,5,0.97328805978726610155929600000000000000000000000000000000000000000000000000000000,43
fake_boeblingen,0,6,0.97383178630015261764963737600000000000000000000000000000000000000000000000000000,183
fake_boeblingen,0,7,0.97661746914747700279212127010816000000000000000000000000000000000000000000000000,758
fake_boeblingen,1,4,0.91424553363666038572000000000000000000000000000000000000000000000000000000000000,10
fake_boeblingen,1,5,0.91844001592648502125499200000000000000000000000000000000000000000000000000000000,44
fake_boeblingen,1,6,0.95606035640022190001156068960000000000000000000000000000000000000000000000000000,183
fake_boeblingen,1,7,0.96424822699053496746708127079296000000000000000000000000000000000000000000000000,758
fake_boeblingen,2,4,0.96312101977133875456000000000000000000000000000000000000000000000000000000000000,10
fake_boeblingen,2,5,0.97236849197334388315667200000000000000000000000000000000000000000000000000000000,44
fake_boeblingen,2,6,0.97305608078540985912448491520000000000000000000000000000000000000000000000000000,183
fake_boeblingen,2,7,0.97332299610324552802875171860224000000000000000000000000000000000000000000000000,758
fake_boeblingen,3,4,0.91665148793209320104000000000000000000000000000000000000000000000000000000000000,10
fake_boeblingen,3,5,0.95713946699856805701699200000000000000000000000000000000000000000000000000000000,43
fake_boeblingen,3,6,0.96560944310839342360675503680000000000000000000000000000000000000000000000000000,183
fake_boeblingen,3,7,0.97126055170638534330516264846464000000000000000000000000000000000000000000000000,758
fake_johannesburg,0,4,0.88045831736531944200000000000000000000000000000000000000000000000000000000000000,10
fake_johannesburg,0,5,0.88622872604258348999467200000000000000000000000000000000000000000000000000000000,44
fake_johannesburg,0,6,0.92543112344483617329264290880000000000000000000000000000000000000000000000000000,183
fake_johannesburg,0,7,0.94425601802185992313794079774464000000000000000000000000000000000000000000000000,758
fake_johannesburg,1,4,0.94430663874799770182000000000000000000000000000000000000000000000000000000000000,10
fake_johannesburg,1,5,0.95042583792834818815150800000000000000000000000000000000000000000000000000000000,43
fake_johannesburg,1,6,0.95969637799444161915412123440000000000000000000000000000000000000000000000000000,183
fake_johannesburg,1,7,0.96575507535799538093518244227648000000000000000000000000000000000000000000000000,759
fake_johannesburg,2,4,0.89334170751945602520000000000000000000000000000000000000000000000000000000000000,10
fake_johannesburg,2,5,0.94282303710865807389065600000000000000000000000000000000000000000000000000000000,43
fake_johannesburg,2,6,0.94297266725787721205920356800000000000000000000000000000000000000000000000000000,183
fake_johannesburg,2,7,0.95231879342251760321978320813952000000000000000000000000000000000000000000000000,758
fake_johannesburg,3,4,0.94526382734703172600000000000000000000000000000000000000000000000000000000000000,11
fake_johannesburg,3,5,0.95343406440271966875440000000000000000000000000000000000000000000000000000000000,43
fake_johannesburg,3,6,0.95412832508433200997966776000000000000000000000000000000000000000000000000000000,183
fake_johannesburg,3,7,0.95434109365954575730388099312000000000000000000000000000000000000000000000000000,758
fake_poughkeepsie,0,4,0.96909389145975540000000000000000000000000000000000000000000000000000000000000000,10
fake_poughkeepsie,0,5,0.97354254584400675024000000000000000000000000000000000000000000000000000000000000,44
fake_poughkeepsie,0,6,0.97520947959553071134160000000000000000000000000000000000000000000000000000000000,183
fake_poughkeepsie,0,7,0.97522469491167465016608768000000000000000000000000000000000000000000000000000000,757
fake_poughkeepsie,1,4,0.95569370930077550000000000000000000000000000000000000000000000000000000000000000,10
fake_poughkeepsie,1,5,0.97695206921250748600000000000000000000000000000000000000000000000000000000000000,44
fake_poughkeepsie,1,6,0.97708508767848948722200000000000000000000000000000000000000000000000000000000000,182
fake_poughkeepsie,1,7,0.97857536186851549993132000000000000000000000000000000000000000000000000000000000,757
fake_poughkeepsie,2,4,0.85462249232787763200000000000000000000000000000000000000000000000000000000000000,10
fake_poughkeepsie,2,5,0.90426669792182533939200000000000000000000000000000000000000000000000000000000000,44
fake_poughkeepsie,2,6,0.90620708580789309999513600000000000000000000000000000000000000000000000000000000,183
fake_poughkeepsie,2,7,0.91673175363780269855271321600000000000000000000000000000000000000000000000000000,757
fake_poughkeepsie,3,4,0.83243664790750333800000000000000000000000000000000000000000000000000000000000000,10
fake_poughkeepsie,3,5,0.84191086124459835418800000000000000000000000000000000000000000000000000000000000,44
fake_poughkeepsie,3,6,0.86520720311333860720845600000000000000000000000000000000000000000000000000000000,182
fake_poughkeepsie,3,7,0.88416242104010275950217228800000000000000000000000000000000000000000000000000000,757
fake_singapore,0,4,0.94145264773815138000000000000000000000000000000000000000000000000000000000000000,11
fake_singapore,0,5,0.95979496544298249324000000000000000000000000000000000000000000000000000000000000,43
fake_singapore,0,6,0.97636685690699218769082000000000000000000000000000000000000000000000000000000000,183
fake_singapore,0,7,0.97727148802062402102921480000000000000000000000000000000000000000000000000000000,757
fake_singapore,1,4,0.97191728397203157050000000000000000000000000000000000000000000000000000000000000,10
fake_singapore,1,5,0.97586127827633458451100000000000000000000000000000000000000000000000000000000000,44
fake_singapore,1,6,0.97696071672586576432322850000000000000000000000000000000000000000000000000000000,182
fake_singapore,1,7,0.97696538795733044109131174700000000000000000000000000000000000000000000000000000,758
fake_singapore,2,4,0.94831279360192421550000000000000000000000000000000000000000000000000000000000000,10
fake_singapore,2,5,0.95036077426309020508500000000000000000000000000000000000000000000000000000000000,43
fake_singapore,2,6,0.97388896253971662410304150000000000000000000000000000000000000000000000000000000,183
fake_singapore,2,7,0.97788738841847818744662459000000000000000000000000000000000000000000000000000000,758
fake_singapore,3,4,0.92854598720226954000000000000000000000000000000000000000000000000000000000000000,10
fake_singapore,3,5,0.96608079528660322996000000000000000000000000000000000000000000000000000000000000,43
fake_singapore,3,6,0.96619468233314847183850000000000000000000000000000000000000000000000000000000000,183
fake_singapore,3,7,0.97113080730945844225614244000000000000000000000000000000000000000000000000000000,757
fake_tokyo,0,4,0.89100703337750959800000000000000000000000000000000000000000000000000000000000000,10
fake_tokyo,0,5,0.93336987525962254720800000000000000000000000000000000000000000000000000000000000,44
fake_tokyo,0,6,0.93389699263127429160002400000000000000000000000000000000000000000000000000000000,183
fake_tokyo,0,7,0.94080689984156449631102390400000000000000000000000000000000000000000000000000000,757
fake_tokyo,1,4,0.85936363263700160000000000000000000000000000000000000000000000000000000000000000,10
fake_tokyo,1,5,0.91695105142405946880000000000000000000000000000000000000000000000000000000000000,44
fake_tokyo,1,6,0.92358339015917747712000000000000000000000000000000000000000000000000000000000000,182
fake_tokyo,1,7,0.93762119448463648952647680000000000000000000000000000000000000000000000000000000,758
fake_tokyo,2,4,0.82201397315435484200000000000000000000000000000000000000000000000000000000000000,10
fake_tokyo,2,5,0.83010628552042548447200000000000000000000000000000000000000000000000000000000000,43
fake_tokyo,2,6,0.87780686744638039579258400000000000000000000000000000000000000000000000000000000,183
fake_tokyo,2,7,0.89020321740053286420002854400000000000000000000000000000000000000000000000000000,757
fake_tokyo,3,4,0.92569686544058755600000000000000000000000000000000000000000000000000000000000000,11
fake_tokyo,3,5,0.93835234277165865659200000000000000000000000000000000000000000000000000000000000,43
fake_tokyo,3,6,0.93944951373578645721659200000000000000000000000000000000000000000000000000000000,183
fake_tokyo,3,7,0.93999682475396496118635654400000000000000000000000000000000000000000000000000000,757
fake_tokyo,4,4,0.92240014020842910000000000000000000000000000000000000000000000000000000000000000,11
fake_tokyo,4,5,0.95257543822062571032000000000000000000000000000000000000000000000000000000000000,43
fake_tokyo,4,6,0.95360741735305413735960000000000000000000000000000000000000000000000000000000000,183
fake_tokyo,4,7,0.95686164251307324254361696000000000000000000000000000000000000000000000000000000,757
