backend,embedding,time
HANOI,0,0.3633270263671875
HANOI,1,0.42897701263427734
HANOI,2,0.3890542984008789
HANOI,3,0.4186680316925049
CAIRO,0,0.3643457889556885
CAIRO,1,0.4183177947998047
CAIRO,2,0.43166327476501465
CAIRO,3,0.40711116790771484
MUMBAI,0,0.4988408088684082
MUMBAI,1,0.32937097549438477
MUMBAI,2,0.40841078758239746
MUMBAI,3,0.43144798278808594
KOLKATA,0,0.5197291374206543
KOLKATA,1,0.40715599060058594
KOLKATA,2,0.45084404945373535
KOLKATA,3,0.38056302070617676
AUCKLAND,0,0.4529409408569336
AUCKLAND,1,0.4233839511871338
GENEVA,0,0.4140510559082031
GENEVA,1,0.4119398593902588
MONTREAL,0,0.34023094177246094
MONTREAL,1,0.38607311248779297
MONTREAL,2,0.44031834602355957
PARIS,0,0.447983980178833
PARIS,1,0.4037008285522461
PARIS,2,0.40439486503601074
SYDNEY,0,0.42241930961608887
SYDNEY,1,0.3871030807495117
TORONTO,0,0.45359110832214355
TORONTO,1,0.4292757511138916
TORONTO,2,0.40790414810180664
