horizon,alg_index,hardware_spec,embedding_index,acc
1,0,fake_tenerife,0,0.5000015
1,0,fake_tenerife,1,0.5000005
1,0,fake_athens,0,0.5
1,0,fake_athens,1,0.4999995
1,0,fake_athens,2,0.5000005
1,0,fake_belem,0,0.499999
1,0,fake_belem,1,0.5
1,0,fake_belem,2,0.499999
1,0,fake_bogota,0,0.499999
1,0,fake_bogota,1,0.5000015
1,0,fake_bogota,2,0.4999995
1,0,fake_burlington,0,0.4999995
1,0,fake_burlington,1,0.5000015
1,0,fake_burlington,2,0.500001
1,0,fake_essex,0,0.4999995
1,0,fake_essex,1,0.5
1,0,fake_essex,2,0.499999
1,0,fake_lima,0,0.4999995
1,0,fake_lima,1,0.5000015
1,0,fake_lima,2,0.5000015
1,0,fake_london,0,0.499999
1,0,fake_london,1,0.499999
1,0,fake_london,2,0.499999
1,0,fake_manila,0,0.499999
1,0,fake_manila,1,0.5
1,0,fake_manila,2,0.5
1,0,fake_ourense,0,0.4999985
1,0,fake_ourense,1,0.499999
1,0,fake_ourense,2,0.5
1,0,fake_quito,0,0.4999985
1,0,fake_quito,1,0.5000015
1,0,fake_quito,2,0.499999
1,0,fake_rome,0,0.499999
1,0,fake_rome,1,0.5000015
1,0,fake_rome,2,0.5
1,0,fake_santiago,0,0.5
1,0,fake_santiago,1,0.499999
1,0,fake_santiago,2,0.4999985
1,0,fake_vigo,0,0.500001
1,0,fake_vigo,1,0.4999995
1,0,fake_vigo,2,0.4999995
1,0,fake_yorktown,0,0.5
1,0,fake_yorktown,1,0.5000005
1,0,fake_yorktown,2,0.4999995
1,0,fake_yorktown,3,0.4999995
1,0,fake_yorktown,4,0.5000015
1,0,fake_yorktown,5,0.499999
1,0,fake_johannesburg,0,0.500001
1,0,fake_johannesburg,1,0.4999985
1,0,fake_johannesburg,2,0.5
1,0,fake_johannesburg,3,0.5
1,0,fake_johannesburg,4,0.5000005
1,0,fake_almaden,0,0.5000005
1,0,fake_almaden,1,0.4999995
1,0,fake_almaden,2,0.5
1,0,fake_almaden,3,0.5000005
1,0,fake_almaden,4,0.5
1,0,fake_almaden,5,0.5
1,0,fake_almaden,6,0.4999985
