,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,7.0,0.804,0.1,0.611,0.781,0.813,0.862,0.917
0,couplers_success,7.0,0.969,0.015,0.949,0.96,0.972,0.98,0.985
0,success0,7.0,0.691,0.165,0.352,0.695,0.705,0.76,0.871
0,success1,7.0,0.917,0.051,0.853,0.871,0.93,0.955,0.982
0,success_diff,7.0,-0.226,0.138,-0.518,-0.236,-0.169,-0.164,-0.093
1,accum_prob,10.0,0.868,0.107,0.598,0.838,0.911,0.917,0.979
1,couplers_success,10.0,0.957,0.025,0.906,0.944,0.958,0.978,0.983
1,success0,10.0,0.958,0.043,0.854,0.956,0.974,0.986,0.994
1,success1,10.0,0.778,0.174,0.341,0.726,0.839,0.854,0.964
1,success_diff,10.0,0.18,0.133,0.03,0.119,0.148,0.2,0.512
2,accum_prob,54.0,0.937,0.074,0.619,0.918,0.965,0.987,0.995
2,couplers_success,54.0,0.975,0.019,0.923,0.964,0.98,0.989,0.994
2,success0,54.0,0.94,0.079,0.624,0.926,0.968,0.99,0.997
2,success1,54.0,0.935,0.071,0.615,0.909,0.961,0.985,0.994
2,success_diff,54.0,0.005,0.025,-0.115,0.0,0.004,0.014,0.061
3,accum_prob,3.0,0.992,0.006,0.986,0.989,0.992,0.994,0.997
3,couplers_success,3.0,0.947,0.049,0.892,0.929,0.966,0.975,0.984
3,success0,3.0,0.993,0.005,0.988,0.991,0.994,0.996,0.998
3,success1,3.0,0.99,0.006,0.984,0.987,0.99,0.993,0.996
3,success_diff,3.0,0.003,0.001,0.002,0.002,0.003,0.004,0.004
4,accum_prob,2.0,0.85,0.135,0.755,0.803,0.85,0.898,0.946
4,couplers_success,2.0,0.718,0.018,0.706,0.712,0.718,0.725,0.731
4,success0,2.0,0.832,0.161,0.719,0.776,0.832,0.889,0.946
4,success1,2.0,0.868,0.109,0.791,0.83,0.868,0.906,0.945
4,success_diff,2.0,-0.036,0.051,-0.072,-0.054,-0.036,-0.018,0.0
5,accum_prob,1.0,0.96,,0.96,0.96,0.96,0.96,0.96
5,couplers_success,1.0,0.74,,0.74,0.74,0.74,0.74,0.74
5,success0,1.0,0.935,,0.935,0.935,0.935,0.935,0.935
5,success1,1.0,0.985,,0.985,0.985,0.985,0.985,0.985
5,success_diff,1.0,-0.049,,-0.049,-0.049,-0.049,-0.049,-0.049
6,accum_prob,1.0,0.596,,0.596,0.596,0.596,0.596,0.596
6,couplers_success,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
6,success0,1.0,0.934,,0.934,0.934,0.934,0.934,0.934
6,success1,1.0,0.259,,0.259,0.259,0.259,0.259,0.259
6,success_diff,1.0,0.675,,0.675,0.675,0.675,0.675,0.675
7,accum_prob,3.0,0.989,0.006,0.983,0.986,0.99,0.992,0.994
7,couplers_success,3.0,0.96,0.024,0.935,0.948,0.962,0.972,0.983
7,success0,3.0,0.997,0.002,0.994,0.996,0.998,0.998,0.998
7,success1,3.0,0.982,0.009,0.972,0.978,0.983,0.986,0.99
7,success_diff,3.0,0.015,0.007,0.008,0.012,0.015,0.018,0.022
8,accum_prob,1.0,0.61,,0.61,0.61,0.61,0.61,0.61
8,couplers_success,1.0,0.727,,0.727,0.727,0.727,0.727,0.727
8,success0,1.0,0.81,,0.81,0.81,0.81,0.81,0.81
8,success1,1.0,0.41,,0.41,0.41,0.41,0.41,0.41
8,success_diff,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
9,accum_prob,1.0,0.974,,0.974,0.974,0.974,0.974,0.974
9,couplers_success,1.0,0.973,,0.973,0.973,0.973,0.973,0.973
9,success0,1.0,0.995,,0.995,0.995,0.995,0.995,0.995
9,success1,1.0,0.952,,0.952,0.952,0.952,0.952,0.952
9,success_diff,1.0,0.043,,0.043,0.043,0.043,0.043,0.043
