hardware_spec,embedding_index,horizon,my_guarantee,baseline_guarantee,diff,best_baseline,diff_best
fake_johannesburg,0,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,0,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,0,3,0.807,0.807,0.0,0.807,0.0
fake_johannesburg,0,4,0.88,0.734,0.14600000000000002,0.807,0.07299999999999995
fake_johannesburg,0,5,0.886,0.869,0.017000000000000015,0.869,0.017000000000000015
fake_johannesburg,0,6,0.925,0.812,0.11299999999999999,0.869,0.05600000000000005
fake_johannesburg,0,7,0.944,0.897,0.04699999999999993,0.897,0.04699999999999993
fake_johannesburg,1,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,1,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,1,3,0.884,0.884,0.0,0.884,0.0
fake_johannesburg,1,4,0.944,0.944,0.0,0.944,0.0
fake_johannesburg,1,5,0.95,0.932,0.017999999999999905,0.944,0.006000000000000005
fake_johannesburg,1,6,0.96,0.96,0.0,0.96,0.0
fake_johannesburg,1,7,0.966,0.951,0.015000000000000013,0.96,0.006000000000000005
fake_johannesburg,2,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,2,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,2,3,0.893,0.893,0.0,0.893,0.0
fake_johannesburg,2,4,0.893,0.893,0.0,0.893,0.0
fake_johannesburg,2,5,0.943,0.943,0.0,0.943,0.0
fake_johannesburg,2,6,0.943,0.943,0.0,0.943,0.0
fake_johannesburg,2,7,0.952,0.952,0.0,0.952,0.0
fake_johannesburg,3,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,3,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,3,3,0.939,0.939,0.0,0.939,0.0
fake_johannesburg,3,4,0.945,0.945,0.0,0.945,0.0
fake_johannesburg,3,5,0.953,0.953,0.0,0.953,0.0
fake_johannesburg,3,6,0.954,0.954,0.0,0.954,0.0
fake_johannesburg,3,7,0.954,0.954,0.0,0.954,0.0
fake_almaden,0,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,0,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,0,3,0.9,0.9,0.0,0.9,0.0
fake_almaden,0,4,0.955,0.955,0.0,0.955,0.0
fake_almaden,0,5,0.958,0.949,0.009000000000000008,0.955,0.0030000000000000027
fake_almaden,0,6,0.972,0.972,0.0,0.972,0.0
fake_almaden,0,7,0.977,0.966,0.01100000000000001,0.972,0.0050000000000000044
fake_almaden,1,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,1,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,1,3,0.905,0.905,0.0,0.905,0.0
fake_almaden,1,4,0.908,0.908,0.0,0.908,0.0
fake_almaden,1,5,0.946,0.946,0.0,0.946,0.0
fake_almaden,1,6,0.947,0.947,0.0,0.947,0.0
fake_almaden,1,7,0.953,0.953,0.0,0.953,0.0
fake_almaden,2,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,2,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,2,3,0.962,0.962,0.0,0.962,0.0
fake_almaden,2,4,0.972,0.972,0.0,0.972,0.0
fake_almaden,2,5,0.978,0.978,0.0,0.978,0.0
fake_almaden,2,6,0.979,0.979,0.0,0.979,0.0
fake_almaden,2,7,0.979,0.979,0.0,0.979,0.0
fake_almaden,3,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,3,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,3,3,0.744,0.744,0.0,0.744,0.0
fake_almaden,3,4,0.783,0.705,0.07800000000000007,0.744,0.039000000000000035
fake_almaden,3,5,0.82,0.82,0.0,0.82,0.0
fake_almaden,3,6,0.86,0.78,0.07999999999999996,0.82,0.040000000000000036
fake_almaden,3,7,0.86,0.858,0.0020000000000000018,0.858,0.0020000000000000018
fake_boeblingen,0,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,0,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,0,3,0.942,0.942,0.0,0.942,0.0
fake_boeblingen,0,4,0.945,0.945,0.0,0.945,0.0
fake_boeblingen,0,5,0.973,0.973,0.0,0.973,0.0
fake_boeblingen,0,6,0.974,0.974,0.0,0.974,0.0
fake_boeblingen,0,7,0.977,0.977,0.0,0.977,0.0
fake_boeblingen,1,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,1,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,1,3,0.854,0.854,0.0,0.854,0.0
fake_boeblingen,1,4,0.914,0.914,0.0,0.914,0.0
fake_boeblingen,1,5,0.918,0.918,0.0,0.918,0.0
fake_boeblingen,1,6,0.956,0.956,0.0,0.956,0.0
fake_boeblingen,1,7,0.964,0.944,0.020000000000000018,0.956,0.008000000000000007
fake_boeblingen,2,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,2,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,2,3,0.957,0.957,0.0,0.957,0.0
fake_boeblingen,2,4,0.963,0.963,0.0,0.963,0.0
fake_boeblingen,2,5,0.972,0.972,0.0,0.972,0.0
fake_boeblingen,2,6,0.973,0.973,0.0,0.973,0.0
fake_boeblingen,2,7,0.973,0.973,0.0,0.973,0.0
fake_boeblingen,3,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,3,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,3,3,0.898,0.898,0.0,0.898,0.0
fake_boeblingen,3,4,0.917,0.917,0.0,0.917,0.0
fake_boeblingen,3,5,0.957,0.957,0.0,0.957,0.0
fake_boeblingen,3,6,0.966,0.966,0.0,0.966,0.0
fake_boeblingen,3,7,0.971,0.971,0.0,0.971,0.0
fake_poughkeepsie,0,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,0,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,0,3,0.955,0.955,0.0,0.955,0.0
fake_poughkeepsie,0,4,0.969,0.969,0.0,0.969,0.0
fake_poughkeepsie,0,5,0.974,0.974,0.0,0.974,0.0
fake_poughkeepsie,0,6,0.975,0.975,0.0,0.975,0.0
fake_poughkeepsie,0,7,0.975,0.975,0.0,0.975,0.0
fake_poughkeepsie,1,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,1,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,1,3,0.955,0.955,0.0,0.955,0.0
fake_poughkeepsie,1,4,0.956,0.956,0.0,0.956,0.0
fake_poughkeepsie,1,5,0.977,0.977,0.0,0.977,0.0
fake_poughkeepsie,1,6,0.977,0.977,0.0,0.977,0.0
fake_poughkeepsie,1,7,0.979,0.979,0.0,0.979,0.0
fake_poughkeepsie,2,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,2,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,2,3,0.85,0.85,0.0,0.85,0.0
fake_poughkeepsie,2,4,0.855,0.855,0.0,0.855,0.0
fake_poughkeepsie,2,5,0.904,0.904,0.0,0.904,0.0
fake_poughkeepsie,2,6,0.906,0.906,0.0,0.906,0.0
fake_poughkeepsie,2,7,0.917,0.917,0.0,0.917,0.0
fake_poughkeepsie,3,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,3,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,3,3,0.764,0.764,0.0,0.764,0.0
fake_poughkeepsie,3,4,0.832,0.832,0.0,0.832,0.0
fake_poughkeepsie,3,5,0.842,0.813,0.029000000000000026,0.832,0.010000000000000009
fake_poughkeepsie,3,6,0.865,0.865,0.0,0.865,0.0
fake_poughkeepsie,3,7,0.884,0.837,0.04700000000000004,0.865,0.019000000000000017
fake_singapore,0,1,0.5,0.5,0.0,0.5,0.0
fake_singapore,0,2,0.5,0.5,0.0,0.5,0.0
fake_singapore,0,3,0.904,0.904,0.0,0.904,0.0
fake_singapore,0,4,0.941,0.866,0.07499999999999996,0.904,0.03699999999999992
